"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"A.J. Price","357","PG",25,"IND",44,1,568,59,174,0.339,26,88,0.295,33,86,0.384,0.414,28,35,0.8,13,48,61,86,20,2,32,30,172,11.5,0.454,0.201,2.6,9.4,6,23.9,1.9,0.3,14.5,17.7,0.2,0.5,0.7,0.063,-0.6,-0.5,-1,0.1,19.4,0.494,0.08,0.092,0.121,0.201,0.506,0.571,0.125,0.524,0.343,0.212,0.731,0,0,0.091,0.5
"Aaron Gray","178","C",27,"TOR",49,40,813,83,161,0.516,0,0,NA,83,161,0.516,0.516,25,47,0.532,83,198,281,27,22,17,51,127,191,11.1,0.526,0.292,12.1,28.3,20.3,5.5,1.5,1.7,21.9,13.5,0.1,1.3,1.4,0.082,-3.6,0.1,-3.5,-0.3,4.2,1,0.578,0.311,0.099,0.012,0,0.656,0.28,0.438,0.5,0.663,NA,0.062,9,NA,NA
"Al Harrington","192","PF",31,"DEN",64,1,1761,345,773,0.446,101,303,0.333,244,470,0.519,0.512,119,176,0.676,72,318,390,88,58,12,112,181,910,15.3,0.535,0.228,4.9,20.4,12.9,8.2,1.7,0.5,11.6,24.4,1.6,1.6,3.2,0.088,0.5,-0.8,-0.4,0.7,13.4,0.608,0.37,0.088,0.048,0.102,0.392,0.629,0.265,0.378,0.405,0.586,0.98,0.035,27,0.284,0.407
"Al Horford","217","C",25,"ATL",11,11,348,57,103,0.553,0,1,0,57,102,0.559,0.553,22,30,0.733,26,51,77,24,10,14,16,21,136,19,0.585,0.291,8.8,17.1,13,11.7,1.5,3.1,12.1,17.9,0.8,0.6,1.3,0.18,1.8,1.5,3.4,0.5,8.9,0.99,0.369,0.243,0.087,0.291,0.01,0.684,0.6,0.444,0.4,0.579,NA,0.117,10,0,NA
"Al Jefferson","237","C",27,"UTA",61,61,2075,516,1048,0.492,1,4,0.25,515,1044,0.493,0.493,137,177,0.774,133,452,585,134,47,101,62,155,1170,22.8,0.52,0.169,7.3,25.3,16.2,12.1,1.2,3.9,5.2,25.7,4.9,2.5,7.5,0.173,3.5,0.2,3.7,3,9.2,0.996,0.218,0.364,0.216,0.199,0.004,0.68,0.491,0.394,0.402,0.522,1,0.053,52,0,NA
"Al-Farouq Aminu","11","SF",21,"NOH",66,21,1477,150,365,0.411,13,47,0.277,137,318,0.431,0.429,86,114,0.754,95,213,308,66,59,34,91,136,399,10.6,0.481,0.312,7.8,16.9,12.4,7.2,2.2,1.9,18,16.2,-0.4,1.8,1.4,0.044,-2.9,0.7,-2.2,-0.1,9.7,0.871,0.389,0.205,0.077,0.2,0.129,0.563,0.32,0.25,0.356,0.591,1,0.11,37,0.34,0.25
"Alan Anderson","14","SF",29,"TOR",17,12,461,55,142,0.387,24,61,0.393,31,81,0.383,0.472,29,34,0.853,8,26,34,26,5,3,25,35,163,8.7,0.519,0.239,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,0.1,0.2,0.3,0.032,-1.7,-1.3,-3,-0.1,16.9,0.57,0.148,0.106,0.106,0.211,0.43,0.619,0.267,0.2,0.367,0.452,0.875,0.028,3,0.246,0.4
"Alec Burks","70","SG",20,"UTA",59,0,939,153,357,0.429,15,45,0.333,138,312,0.442,0.45,104,143,0.727,57,75,132,55,27,5,51,84,425,14,0.506,0.401,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,1.1,0.4,1.5,0.076,-0.6,-1.4,-2,0,10.9,0.874,0.364,0.188,0.062,0.261,0.126,0.638,0.269,0.273,0.333,0.514,0.867,0.05,17,0.267,0.333
"Alonzo Gee","165","SG",24,"CLE",63,31,1827,227,551,0.412,44,137,0.321,183,414,0.442,0.452,167,212,0.788,101,221,322,113,83,17,114,149,665,13.2,0.516,0.385,6.1,14.3,10,10.6,2.4,0.7,15,18.7,1.2,1.2,2.4,0.063,-1.2,-0.2,-1.4,0.3,10.8,0.751,0.387,0.171,0.08,0.114,0.249,0.601,0.191,0.273,0.397,0.47,0.955,0.1,50,0.401,0.273
"Amar'e Stoudemire","407","PF",29,"NYK",47,47,1543,316,654,0.483,5,21,0.238,311,633,0.491,0.487,186,243,0.765,106,261,367,52,38,45,112,138,823,17.7,0.541,0.372,7.9,19.8,13.7,6.3,1.3,2.3,12.8,25.4,1.8,2.3,4.1,0.128,0.1,-0.4,-0.3,0.7,8.8,0.968,0.394,0.205,0.102,0.266,0.032,0.709,0.328,0.269,0.379,0.611,0.8,0.142,83,0.381,0.125
"Amir Johnson","244","PF",24,"TOR",64,43,1553,196,340,0.576,2,5,0.4,194,335,0.579,0.579,58,84,0.69,149,259,408,79,33,69,94,209,452,14.4,0.6,0.247,11.4,19.4,15.4,8.7,1.1,3.6,20,14.3,1.9,2,4,0.122,-1.4,0.9,-0.5,0.6,7.5,0.985,0.509,0.188,0.05,0.238,0.015,0.734,0.484,0.353,0.37,0.696,0.5,0.162,49,0.6,0.667
"Anderson Varejão","435","C",29,"CLE",25,25,785,114,222,0.514,0,4,0,114,218,0.523,0.514,43,64,0.672,109,178,287,43,35,17,45,62,271,18.9,0.542,0.288,15.2,26.8,20.8,9.7,2.3,1.6,15.2,16.9,1.2,0.9,2.1,0.131,1.3,-0.2,1.1,0.6,5,0.982,0.613,0.194,0.117,0.059,0.018,0.647,0.279,0.346,0.385,0.719,NA,0.05,11,0,NA
"Andray Blatche","49","PF",25,"WAS",26,13,626,93,245,0.38,2,7,0.286,91,238,0.382,0.384,33,49,0.673,42,108,150,28,20,17,37,54,221,10.6,0.415,0.2,7.5,19.6,13.5,7.3,1.7,2.1,12.2,21.7,-0.8,0.6,-0.1,-0.011,-3.4,-1.4,-4.8,-0.4,11.2,0.971,0.273,0.171,0.139,0.388,0.029,0.582,0.333,0.235,0.316,0.505,1,0.041,10,0.143,0
"Andre Emmett","132","SF",29,"NJN",6,0,45,4,7,0.571,0,1,0,4,6,0.667,0.571,5,8,0.625,2,4,6,1,2,1,2,2,13,13.3,0.618,1.143,5,10.6,7.7,3.6,2.4,1.7,16,12.7,0.1,0,0.1,0.089,-0.8,-0.7,-1.5,0,8.6,0.857,0.571,0.143,0,0.143,0.143,0.75,1,NA,0,0.5,NA,0.143,1,1,0
"Andre Iguodala","226","SF",28,"PHI",62,62,2209,287,632,0.454,76,193,0.394,211,439,0.481,0.514,121,196,0.617,56,325,381,339,107,30,115,92,771,17.6,0.537,0.31,2.8,16.4,9.6,23.7,2.6,1,13.8,17.7,3.1,4.2,7.3,0.158,1.5,2.5,4,3.3,15.5,0.695,0.229,0.074,0.084,0.307,0.305,0.752,0.362,0.434,0.32,0.412,0.75,0.111,70,0.187,0.472
"Andre Miller","308","SG",35,"DEN",66,7,1809,242,552,0.438,18,83,0.217,224,469,0.478,0.455,137,169,0.811,53,168,221,441,63,9,177,133,639,14.8,0.51,0.306,3.5,10.5,7.1,36.5,1.8,0.4,22,19.8,1.9,1,2.9,0.078,0.5,-0.9,-0.3,0.7,10.5,0.85,0.351,0.23,0.149,0.12,0.15,0.644,0.346,0.39,0.348,0.263,0.833,0,0,0.229,0.158
"Andrea Bargnani","30","C",26,"TOR",31,31,1032,209,484,0.432,34,115,0.296,175,369,0.474,0.467,151,173,0.873,24,148,172,61,18,15,69,52,603,17.9,0.538,0.357,2.8,16.6,9.8,11.6,0.9,1.2,11,28.7,1.3,0.9,2.2,0.104,2.4,-1.3,1.1,0.8,14.9,0.762,0.178,0.143,0.14,0.302,0.238,0.616,0.42,0.5,0.404,0.646,0.941,0.037,16,0.017,0
"Andrés Nocioni","331","SF",32,"PHI",11,1,56,5,20,0.25,1,6,0.167,4,14,0.286,0.275,6,11,0.545,1,13,14,1,1,1,5,4,17,1.8,0.342,0.55,2,25.9,13.9,2.6,1,1.3,16.8,25,-0.3,0.1,-0.2,-0.139,-10.7,-2.3,-12.9,-0.2,14.4,0.7,0.1,0.25,0.25,0.1,0.3,1,0.2,0.2,0,1,1,0,0,0.167,0
"Andrew Bogut","52","C",27,"MIL",12,12,364,61,136,0.449,0,1,0,61,135,0.452,0.449,14,23,0.609,22,78,100,31,12,24,24,36,136,14.9,0.465,0.169,6.5,24.3,15.1,13.7,1.7,5,14.1,20.6,-0.1,0.6,0.5,0.062,-1.9,2.3,0.5,0.2,6,0.993,0.324,0.522,0.096,0.051,0.007,0.75,0.282,0.462,0.286,0.59,NA,0.074,10,0,NA
"Andrew Bynum","75","C",24,"LAL",60,60,2112,444,796,0.558,1,5,0.2,443,791,0.56,0.558,234,338,0.692,192,517,709,85,27,116,152,104,1123,22.9,0.594,0.425,10.6,26.1,18.7,7.4,0.7,4,13.9,23.8,4.8,3.3,8,0.183,2.7,0.2,2.9,2.6,4.6,0.994,0.476,0.435,0.068,0.015,0.006,0.755,0.405,0.296,0.083,0.675,1,0.176,136,0.2,0
"Andrew Goudelock","176","SG",23,"LAL",40,0,419,68,174,0.391,28,75,0.373,40,99,0.404,0.471,11,12,0.917,5,26,31,20,4,0,21,32,175,8.4,0.488,0.069,1.4,6.6,4.1,8,0.5,0,10.5,21.9,0,0.1,0.1,0.011,-2.6,-2.4,-5,-0.3,18.9,0.569,0.017,0.161,0.126,0.264,0.431,0,0.571,0.545,0.261,0.325,0.821,0,0,0.12,0.667
"Andris Biedriņš","44","C",25,"GSW",47,35,739,39,64,0.609,0,0,NA,39,64,0.609,0.609,1,9,0.111,45,131,176,16,23,45,14,125,79,8.8,0.581,0.141,6.9,20,13.5,3,1.6,4.7,17.1,5.1,0.6,0.7,1.3,0.085,-3.8,1.5,-2.3,0,3.4,1,0.594,0.359,0.047,0,0,0.737,0.478,0,NA,0.769,NA,0.203,13,NA,NA
"Antawn Jamison","236","PF",35,"CLE",65,65,2151,421,1044,0.403,91,267,0.341,330,777,0.425,0.447,185,271,0.683,123,285,408,131,51,43,90,164,1118,16.1,0.481,0.26,6.3,15.7,10.8,11.9,1.2,1.5,7.2,26.2,2.1,1,3.1,0.07,1.4,-1.6,-0.3,0.9,13.2,0.744,0.23,0.229,0.068,0.217,0.256,0.629,0.397,0.282,0.282,0.724,0.978,0.002,2,0.15,0.35
"Anthony Carter","82","PG",36,"TOR",24,0,209,17,53,0.321,5,17,0.294,12,36,0.333,0.368,8,10,0.8,5,28,33,34,8,4,17,20,47,8.7,0.409,0.189,2.8,15.5,9.3,25.9,2.1,1.6,22.8,16.8,-0.3,0.3,0,0.001,-3.8,0.8,-3,-0.1,19.4,0.679,0.151,0.075,0.113,0.34,0.321,0.75,0.5,0.333,0.111,0.333,0.6,0,0,0.059,0
"Anthony Morrow","321","SG",26,"NJN",62,18,1636,272,658,0.413,106,286,0.371,166,372,0.446,0.494,97,104,0.933,31,96,127,61,46,9,70,86,747,13.1,0.531,0.158,2.1,7,4.5,6.8,1.5,0.4,9,21.6,1.7,0,1.7,0.051,0.1,-2,-1.9,0,18.7,0.565,0.053,0.081,0.152,0.28,0.435,0.571,0.396,0.45,0.435,0.657,0.953,0.002,1,0.423,0.372
"Anthony Parker","344","SF",36,"CLE",51,51,1280,141,326,0.433,50,138,0.362,91,188,0.484,0.509,35,56,0.625,10,128,138,120,38,7,50,65,367,10.9,0.523,0.172,0.9,11.8,6.1,15.7,1.6,0.4,12.5,14.1,1,0.4,1.4,0.052,-1.3,-0.3,-1.7,0.1,18.7,0.577,0.055,0.064,0.144,0.313,0.423,0.667,0.333,0.447,0.5,0.516,0.98,0.003,1,0.377,0.404
"Anthony Randolph","362","PF",22,"MIN",34,5,517,94,200,0.47,0,1,0,94,199,0.472,0.47,64,84,0.762,42,81,123,19,13,35,40,56,252,17.6,0.532,0.42,9,17.5,13.2,6.6,1.3,4.8,14.4,23.8,0.5,0.6,1.1,0.099,-1.4,0.6,-0.8,0.2,8,0.995,0.46,0.165,0.135,0.235,0.005,0.641,0.273,0.296,0.383,0.691,NA,0.11,21,1,0
"Anthony Tolliver","426","SF",26,"MIN",51,0,882,71,182,0.39,25,101,0.248,46,81,0.568,0.459,41,55,0.745,50,103,153,22,18,19,35,86,208,8.3,0.504,0.302,6.2,13,9.6,3.8,1,1.5,14.5,12.2,0.3,0.6,0.9,0.049,-2.8,0.1,-2.6,-0.2,16.5,0.445,0.269,0.049,0.044,0.082,0.555,0.735,0.333,0.25,0.333,0.717,1,0.077,14,0.416,0.286
"Armon Johnson","245","PG",22,"TOT",9,0,124,20,43,0.465,1,3,0.333,19,40,0.475,0.477,6,6,1,1,12,13,11,5,0,6,9,47,12.9,0.515,0.14,0.9,11.6,6.1,16.1,2.1,0,11.6,19.1,0.1,0,0.1,0.05,-1.8,0.1,-1.7,0,8,0.93,0.419,0.279,0.14,0.093,0.07,0.611,0.5,0.333,0,0.316,0,0.023,1,0,NA
