"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"A.J. Hammons","171","C",24,"DAL",22,0,163,17,42,0.405,5,10,0.5,12,32,0.375,0.464,9,20,0.45,8,28,36,4,1,13,10,21,48,8.4,0.472,0.476,5.4,21,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-6.6,0,-6.6,-0.2,15.4,0.762,0.19,0.071,0.143,0.357,0.238,0.5,0,0.167,0.467,0.917,1,0.095,4,0.2,0
"Aaron Brooks","58","PG",32,"IND",65,0,894,121,300,0.403,48,128,0.375,73,172,0.424,0.483,32,40,0.8,18,51,69,125,25,9,66,93,322,9.5,0.507,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,0.016,-2.4,-1.2,-3.7,-0.4,16.7,0.573,0.19,0.153,0.113,0.117,0.427,0.421,0.413,0.529,0.343,0.096,0.583,0,0,0.117,0.4
"Aaron Gordon","158","SF",21,"ORL",80,72,2298,393,865,0.454,77,267,0.288,316,598,0.528,0.499,156,217,0.719,116,289,405,150,65,40,89,172,1019,14.5,0.53,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2,1.7,3.7,0.077,-0.3,-0.7,-1,0.6,12.7,0.691,0.361,0.092,0.106,0.131,0.309,0.683,0.325,0.446,0.319,0.503,0.844,0.123,99,0.255,0.265
"Aaron Harrison","182","SG",22,"CHO",5,0,17,0,4,0,0,2,0,0,2,0,0,1,2,0.5,0,3,3,3,0,0,0,2,1,-2.2,0.102,0.5,0,19.5,9.7,22.6,0,0,0,12.9,-0.1,0,-0.1,-0.146,-10.1,-1.7,-11.8,0,22.2,0.5,0,0,0,0.5,0.5,NA,NA,NA,0,NA,NA,0,0,0.5,0
"Adreian Payne","352","PF",25,"MIN",18,0,135,23,54,0.426,3,15,0.2,20,39,0.513,0.454,14,19,0.737,9,24,33,7,8,7,8,32,63,14.4,0.505,0.352,7.7,21,14.3,8,3,4.4,11.4,23.1,0,0.2,0.2,0.086,-3.8,1.5,-2.3,0,12.6,0.722,0.315,0.148,0.074,0.185,0.278,0.471,0.5,0.75,0.5,0.65,1,0.074,4,0.133,0
"Al Horford","204","C",30,"BOS",68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952,17.7,0.553,0.169,4.9,18.6,11.8,24.4,1.2,3.2,11.8,19.7,3.6,2.7,6.3,0.138,2.3,1.1,3.4,3,13.4,0.698,0.213,0.22,0.127,0.136,0.302,0.708,0.472,0.392,0.45,0.59,0.977,0.052,41,0.157,0.368
"Al Jefferson","222","C",32,"IND",66,1,931,235,471,0.499,0,1,0,235,470,0.5,0.499,65,85,0.765,75,203,278,57,19,16,33,125,535,18.9,0.526,0.18,9.2,24.2,16.8,11,1,1.5,6.1,26.1,1.2,1.1,2.3,0.119,-0.3,-1.1,-1.4,0.1,7.6,0.998,0.289,0.382,0.214,0.108,0.002,0.662,0.522,0.327,0.353,0.536,NA,0.021,10,0,NA
"Al-Farouq Aminu","10","PF",26,"POR",61,25,1773,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532,11.3,0.506,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,-0.1,2,1.9,0.051,-1.4,0.4,-1.1,0.4,14,0.545,0.32,0.135,0.03,0.06,0.455,0.53,0.302,0.357,0.357,0.46,1,0.058,24,0.358,0.355
"Alan Anderson","12","SF",34,"LAC",30,0,308,30,80,0.375,14,44,0.318,16,36,0.444,0.463,12,16,0.75,3,21,24,11,3,0,7,35,86,5,0.494,0.2,1.1,7.4,4.4,4.9,0.5,0,7.4,13.7,0,0.1,0.1,0.02,-4.2,-1.9,-6.1,-0.3,17.6,0.45,0.175,0.088,0.088,0.1,0.55,0.857,0.143,0.143,0.25,0.563,0.857,0,0,0.364,0.25
"Alan Williams","464","C",24,"PHO",47,0,708,138,267,0.517,0,1,0,138,266,0.519,0.517,70,112,0.625,94,198,292,23,27,32,37,125,346,19.5,0.547,0.419,14,31.2,22.4,5.2,1.8,3.7,10.5,20.9,1.1,0.9,2.1,0.142,-0.8,-0.6,-1.3,0.1,4.7,0.996,0.498,0.408,0.086,0.004,0.004,0.609,0.431,0.435,0,0.725,NA,0.011,3,0,NA
"Alec Burks","65","SG",25,"UTA",42,0,653,99,248,0.399,25,76,0.329,74,172,0.43,0.45,60,78,0.769,17,103,120,30,18,5,35,50,283,11.6,0.501,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11,22.7,-0.1,0.9,0.8,0.056,-2.2,0,-2.3,0,12.9,0.694,0.27,0.185,0.117,0.121,0.306,0.388,0.478,0.552,0.333,0.311,0.8,0.028,4,0.368,0.393
