"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"A.J. Guyton","146","PG",24,"GSW",2,0,9,0,4,0,0,1,0,0,3,0,0,0,0,NA,0,0,0,2,1,0,1,0,0,-9,0,0,0,0,0,28.7,5.7,0,20,23.6,-0.1,0,-0.1,-0.45,-14.1,-2.3,-16.4,0,26.5,0.75,0,0.25,0,0.5,0.25,NA,0,NA,0,NA,NA,0,0,0,NA
"Aaron McKie","250","SF",30,"PHI",80,40,2374,286,666,0.429,37,112,0.33,249,554,0.449,0.457,112,134,0.836,61,289,350,278,131,9,109,177,721,13.7,0.497,0.201,3,14.5,8.7,18.6,2.9,0.3,13.1,15.8,2.1,3,5.1,0.104,-0.6,1.6,1.1,1.9,11.8,0.832,0.314,0.105,0.183,0.23,0.168,0.584,0.343,0.328,0.412,0.59,1,0,0,0.58,0.369
"Aaron Williams","408","C",31,"NJN",81,0,1597,199,439,0.453,0,1,0,199,438,0.454,0.453,102,130,0.785,137,194,331,88,27,57,85,206,500,11.9,0.504,0.296,9.8,13.9,11.8,9,0.9,2.7,14.6,16.4,1.2,2.4,3.7,0.11,-2.2,0.6,-1.6,0.2,5.7,0.998,0.483,0.273,0.134,0.107,0.002,0.533,0.408,0.373,0.319,0.623,NA,0.089,31,0,NA
"Adam Harrington","154","SG",22,"TOT",19,0,111,11,37,0.297,5,14,0.357,6,23,0.261,0.365,3,4,0.75,1,7,8,12,2,1,2,8,30,7.4,0.387,0.108,1,7.5,4.1,18,0.9,0.7,4.9,16.5,0,0.1,0,0.017,-4.1,-1.2,-5.2,-0.1,17,0.622,0.216,0.054,0,0.351,0.378,0.25,0,NA,0.308,0.833,1,0.027,0,0.143,0.5
"Adonal Foyle","127","C",27,"GSW",82,0,1787,185,345,0.536,0,1,0,185,344,0.538,0.536,70,104,0.673,176,314,490,37,40,205,73,214,440,15.3,0.563,0.301,10.6,18.5,14.6,3.1,1.1,7.6,15.7,11,2.3,1.7,4,0.106,-0.7,1.7,0.9,1.3,4.6,0.997,0.455,0.383,0.116,0.043,0.003,0.656,0.424,0.55,0.267,0.605,NA,0.128,42,0,NA
"Adrian Griffin","143","SG",28,"DAL",74,48,1373,146,337,0.433,6,24,0.25,140,313,0.447,0.442,27,32,0.844,88,176,264,105,77,6,47,157,325,11.5,0.463,0.095,7.1,14.1,10.6,11,2.9,0.3,11.8,13.2,0.9,1.9,2.9,0.1,-2.1,1.8,-0.3,0.6,12.9,0.929,0.19,0.184,0.134,0.421,0.071,0.594,0.435,0.311,0.43,0.65,1,0.012,4,0.542,0.308
"Al Harrington","155","SF",22,"IND",82,37,2467,389,896,0.434,13,46,0.283,376,850,0.442,0.441,211,274,0.77,159,352,511,125,71,33,163,280,1002,12.4,0.493,0.306,7.4,15.7,11.6,8.8,1.5,1,13.8,21.6,0.7,3.2,3.9,0.075,-2.3,-0.5,-2.8,-0.5,10.5,0.949,0.31,0.126,0.287,0.225,0.051,0.55,0.274,0.409,0.431,0.532,1,0.038,31,0.348,0.438
"Alan Henderson","165","C",30,"ATL",82,3,1494,153,327,0.468,0,2,0,153,325,0.471,0.468,88,138,0.638,156,242,398,41,33,32,61,168,394,12.1,0.508,0.422,12.4,17.8,15.2,4.5,1.2,1.5,13.6,13.8,1.5,1.1,2.6,0.083,-1.7,-1.2,-2.9,-0.3,6.3,0.994,0.45,0.248,0.187,0.11,0.006,0.667,0.272,0.361,0.306,0.595,NA,0.076,24,0,NA
"Allan Houston","172","SG",31,"NYK",82,82,3108,652,1465,0.445,178,450,0.396,474,1015,0.467,0.506,363,395,0.919,26,205,231,220,54,7,178,191,1845,17.7,0.563,0.27,1,7.9,4.4,13.2,0.9,0.2,9.8,27,6.6,0.6,7.2,0.111,2.9,-1.8,1,2.4,17.4,0.693,0.066,0.084,0.213,0.33,0.307,0.381,0.488,0.49,0.464,0.397,0.848,0.003,3,0.236,0.453
"Alton Ford","120","PF",21,"PHO",11,0,31,3,9,0.333,0,0,NA,3,9,0.333,0.333,1,3,0.333,0,6,6,1,0,0,2,7,7,-2.2,0.339,0.333,0,22.1,10.9,4.9,0,0,16.2,17.8,-0.1,0,-0.1,-0.113,-12.4,-2.2,-14.7,-0.1,10.5,1,0.222,0.111,0.444,0.222,0,0.5,0,0.5,0,0.667,NA,0,0,NA,NA
"Alvin Williams","409","PG",28,"TOR",78,78,2638,396,905,0.438,48,146,0.329,348,759,0.458,0.464,187,239,0.782,55,190,245,416,111,21,128,170,1027,16.7,0.508,0.264,2.3,8.6,5.3,27.7,2.2,0.6,11.2,19.7,4.4,1.2,5.5,0.101,0.8,-0.4,0.4,1.6,15.1,0.839,0.145,0.127,0.147,0.42,0.161,0.542,0.391,0.466,0.447,0.362,0.458,0,0,0.062,0.556
"Amal McCaskill","246","C",29,"ATL",11,0,70,4,17,0.235,0,0,NA,4,17,0.235,0.235,3,4,0.75,7,15,22,5,3,1,2,13,11,7.3,0.293,0.235,11.9,23.5,17.9,10.8,2.3,1,9.6,13.6,-0.1,0.1,0,0.015,-4.8,-0.5,-5.3,-0.1,0.8,1,0.824,0.176,0,0,0,0.286,0,NA,NA,0.5,NA,0.118,0,NA,NA
"Amar'e Stoudemire","363","PF",20,"PHO",82,71,2570,392,830,0.472,2,10,0.2,390,820,0.476,0.473,320,484,0.661,250,471,721,78,62,87,189,269,1106,16.2,0.53,0.583,10.9,20.9,15.9,5,1.3,2.5,15.3,21.5,2.6,3.6,6.2,0.116,-0.9,-0.4,-1.4,0.4,4.1,0.988,0.558,0.32,0.089,0.02,0.012,0.579,0.376,0.27,0.118,0.554,0.5,0.193,140,0.3,0.333
"Andre Miller","255","PG",26,"LAC",80,80,2913,377,928,0.406,23,108,0.213,354,820,0.432,0.419,311,391,0.795,84,232,316,537,99,11,206,203,1088,15.2,0.495,0.421,3.3,9,6.1,31.3,1.8,0.3,15.8,20.3,3.6,1,4.6,0.076,0.2,-1.3,-1.1,0.6,11.2,0.884,0.26,0.208,0.25,0.166,0.116,0.556,0.378,0.379,0.383,0.268,0.783,0.003,2,0.083,0.333
