"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Aaron McKie","264","SF",31,"PHI",75,41,2112,265,577,0.459,75,172,0.436,190,405,0.469,0.524,84,111,0.757,45,208,253,195,85,23,103,142,689,13.9,0.55,0.192,2.5,11.5,7.1,16.8,2.2,0.9,14.1,16.2,2.5,2.3,4.8,0.108,0.2,1.1,1.3,1.8,14.1,0.702,0.234,0.087,0.163,0.218,0.298,0.578,0.42,0.415,0.413,0.547,0.973,0.003,2,0.541,0.473
"Aaron Williams","427","C",32,"NJN",72,7,1337,172,342,0.503,1,3,0.333,171,339,0.504,0.504,105,155,0.677,101,193,294,81,34,46,89,187,450,13.2,0.549,0.453,8.9,17,13,10.4,1.4,2.7,17.8,17.5,1.1,2.3,3.4,0.122,-2.4,0.8,-1.6,0.1,6.2,0.991,0.468,0.254,0.123,0.146,0.009,0.681,0.299,0.357,0.42,0.778,1,0.137,45,0,NA
"Adonal Foyle","136","C",28,"GSW",44,8,572,59,130,0.454,0,0,NA,59,130,0.454,0.454,19,35,0.543,54,113,167,17,6,46,21,68,137,13,0.471,0.269,10.6,22.3,16.4,4.8,0.6,5.8,12.6,13.4,0.3,0.8,1.1,0.093,-2.3,1.2,-1.1,0.1,5.2,1,0.408,0.408,0.1,0.085,0,0.623,0.415,0.154,0.182,0.644,NA,0.062,8,NA,NA
"Adrian Griffin","158","SG",29,"HOU",19,1,133,5,18,0.278,1,2,0.5,4,16,0.25,0.306,0,4,0,1,18,19,10,7,2,3,17,11,4.5,0.278,0.222,0.9,15.2,8.4,11.6,2.9,1.2,13.2,8.2,-0.2,0.2,0.1,0.031,-6.3,4.4,-1.9,0,14.6,0.889,0.167,0.056,0.167,0.5,0.111,0.667,0,0.333,0.111,0.75,0,0,0,0.5,0
"Al Harrington","168","PF",23,"IND",79,15,2441,421,909,0.463,21,77,0.273,400,832,0.481,0.475,185,252,0.734,163,345,508,131,80,22,163,250,1048,14.9,0.514,0.277,7.8,16.9,12.3,10.3,1.8,0.7,13.8,22.9,1.8,4.1,5.9,0.116,-0.9,0.2,-0.7,0.8,10.6,0.915,0.327,0.138,0.237,0.215,0.085,0.589,0.264,0.428,0.513,0.585,0.905,0.073,65,0.364,0.321
"Alan Henderson","178","PF",31,"ATL",6,0,68,10,21,0.476,0,0,NA,10,21,0.476,0.476,4,6,0.667,11,10,21,2,1,2,3,1,24,18.2,0.508,0.286,18.5,16.5,17.5,5.2,0.8,2.2,11.3,17.8,0.1,0,0.2,0.109,3.1,-2.1,1,0.1,6.7,1,0.476,0.19,0.19,0.143,0,0.6,0,0.5,0.667,0.6,NA,0,0,NA,NA
"Alex Garcia","142","SG",23,"SAS",2,0,13,1,7,0.143,0,0,NA,1,7,0.143,0.143,1,2,0.5,0,0,0,0,2,0,1,0,3,-4.7,0.19,0.286,0,0,0,0,8.3,0,11.3,31.6,-0.1,0,-0.1,-0.319,-14.5,0.9,-13.6,0,6.5,1,0.571,0.143,0.143,0.143,0,0,0,1,0,1,NA,0.143,0,NA,NA
"Allan Houston","185","SG",32,"NYK",50,50,1799,340,781,0.435,87,202,0.431,253,579,0.437,0.491,157,172,0.913,20,101,121,99,38,2,102,105,924,14.8,0.539,0.22,1.3,6.4,3.9,10.3,1.1,0.1,10.6,24.7,2.5,0.6,3.1,0.083,1.1,-1.6,-0.5,0.7,17.5,0.741,0.038,0.076,0.26,0.367,0.259,0.267,0.441,0.448,0.446,0.522,0.954,0,0,0.272,0.455
"Alton Ford","130","PF",22,"HOU",9,0,41,6,11,0.545,0,0,NA,6,11,0.545,0.545,3,6,0.5,3,8,11,3,0,1,3,9,15,12.4,0.55,0.545,9.1,21.9,15.8,13.5,0,1.9,18,19.4,0,0.1,0.1,0.117,-2.6,1.9,-0.7,0,8.8,1,0.182,0.364,0.273,0.182,0,1,0.25,0.667,0.5,0.833,NA,0,0,NA,NA
"Alvin Williams","428","SG",29,"TOR",56,54,1730,201,496,0.405,26,89,0.292,175,407,0.43,0.431,66,85,0.776,18,132,150,224,55,10,78,114,494,11.4,0.463,0.171,1.2,8.8,5,23.6,1.8,0.4,12.8,17.1,0.3,1.8,2.1,0.058,-2.4,0.6,-1.9,0,16.6,0.821,0.113,0.089,0.119,0.5,0.179,0.554,0.455,0.373,0.411,0.56,0.885,0,0,0.303,0.333
