"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Kevin Durant",1,"SF",22,"OKC",78,78,3038,711,1538,0.462,145,414,0.35,566,1124,0.504,0.509,594,675,0.88,57,476,533,214,88,76,218,159,2161,23.6,0.589,0.439,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,8.6,3.3,12,0.189,5.2,-0.3,4.9,5.3,15.5,0.731,0.162,0.113,0.16,0.296,0.269,0.795,0.414,0.439,0.413,0.565,0.855,0.083,125,0.063,0.385
"LeBron James",2,"SF",26,"MIA",79,79,3063,758,1485,0.51,92,279,0.33,666,1206,0.552,0.541,503,663,0.759,80,510,590,554,124,50,284,163,2111,27.3,0.594,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,10.3,5.3,15.6,0.244,6.3,1.8,8.1,7.8,12.7,0.812,0.284,0.172,0.094,0.262,0.188,0.744,0.459,0.443,0.445,0.284,0.609,0.068,98,0.211,0.322
"Kobe Bryant",3,"SG",32,"LAL",82,82,2779,740,1639,0.451,115,356,0.323,625,1283,0.487,0.487,483,583,0.828,83,336,419,388,99,12,243,172,2078,23.9,0.548,0.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,6.8,3.5,10.3,0.178,5.4,-0.2,5.2,5,14.5,0.783,0.152,0.19,0.192,0.249,0.217,0.639,0.49,0.519,0.368,0.325,0.652,0.023,38,0.121,0.326
"Derrick Rose",4,"PG",22,"CHI",81,81,3026,711,1597,0.445,128,385,0.332,583,1212,0.481,0.485,476,555,0.858,81,249,330,623,85,51,278,136,2026,23.5,0.55,0.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,8.3,4.8,13.1,0.208,6.3,0.5,6.8,6.7,13,0.759,0.294,0.164,0.105,0.196,0.241,0.611,0.374,0.437,0.399,0.204,0.594,0.02,32,0.052,0.3
"Amar'e Stoudemire",5,"C",28,"NYK",78,78,2870,744,1482,0.502,10,23,0.435,734,1459,0.503,0.505,473,597,0.792,198,438,636,202,71,150,250,274,1971,22.7,0.565,0.403,7.8,17.6,12.7,13.2,1.2,3.8,12.5,30.9,5.4,2.6,8,0.134,2,-0.6,1.4,2.4,8.9,0.984,0.314,0.295,0.138,0.238,0.016,0.641,0.426,0.422,0.465,0.523,0.8,0.086,119,0.304,0.571
"Carmelo Anthony",6,"SF",26,"TOT",77,77,2751,684,1503,0.455,95,251,0.378,589,1252,0.47,0.487,507,605,0.838,118,445,563,221,68,46,206,224,1970,21.7,0.557,0.403,5,18.3,11.8,14.7,1.2,1.3,10.4,32,5.4,2.5,7.9,0.138,3.2,-1.2,1.9,2.7,12.4,0.833,0.321,0.101,0.124,0.286,0.167,0.594,0.309,0.353,0.44,0.418,0.842,0.037,53,0.171,0.372
"Dwyane Wade",7,"SG",29,"MIA",76,76,2823,692,1384,0.5,63,206,0.306,629,1178,0.534,0.523,494,652,0.758,123,362,485,346,111,87,237,197,1941,25.6,0.581,0.471,5.5,14.4,10.2,23.5,2.1,2.4,12.4,31.6,8.1,4.7,12.8,0.218,5.5,1.1,6.6,6.1,10.4,0.851,0.366,0.193,0.113,0.179,0.149,0.686,0.483,0.359,0.387,0.37,0.333,0.082,102,0.146,0.333
"Monta Ellis",8,"SG",25,"GSW",80,80,3227,726,1611,0.451,137,379,0.361,589,1232,0.478,0.493,340,431,0.789,44,237,281,450,168,23,252,203,1929,18.6,0.536,0.268,1.5,8.5,4.9,23.4,2.6,0.5,12.3,28.1,4.3,1.7,6,0.089,1.7,-0.9,0.8,2.3,14.2,0.765,0.24,0.133,0.091,0.3,0.235,0.703,0.377,0.322,0.39,0.35,0.657,0.027,41,0.253,0.354
"Kevin Martin",9,"SG",27,"HOU",80,80,2603,553,1267,0.436,176,459,0.383,377,808,0.467,0.506,594,669,0.888,28,230,258,198,80,15,184,155,1876,21.4,0.601,0.528,1.2,10,5.6,13,1.6,0.4,10.5,29.6,8,1.5,9.5,0.175,4.3,-1,3.4,3.5,15.7,0.638,0.186,0.128,0.105,0.219,0.362,0.703,0.377,0.421,0.339,0.48,0.869,0.035,44,0.129,0.407
"Blake Griffin",10,"PF",21,"LAC",82,82,3112,696,1376,0.506,7,24,0.292,689,1352,0.51,0.508,446,695,0.642,270,719,989,312,63,45,223,252,1845,21.9,0.549,0.505,10.2,26.9,18.6,18.7,1,1.1,11.7,27.3,6.5,3.4,9.8,0.152,3,-0.3,2.6,3.6,7.2,0.983,0.408,0.318,0.102,0.154,0.017,0.689,0.432,0.298,0.335,0.666,1,0.176,214,0.042,0
