"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Wesley Person",236,"SG",29,"CLE",44,22,958,128,292,0.438,34,84,0.405,94,208,0.452,0.497,24,30,0.8,11,119,130,64,27,11,40,62,314,11.6,0.514,0.103,1.3,14.4,7.9,11.2,1.5,0.8,11.6,16.3,0.6,0.6,1.2,0.061,-0.8,-0.3,-1.1,0.2,17.1,0.712,0.072,0.099,0.192,0.349,0.288,0.667,0.31,0.5,0.422,0.894,0.971,0,0,0.262,0.409
"Corie Blount",237,"PF",32,"TOT",68,6,1305,130,294,0.442,2,8,0.25,128,286,0.448,0.446,51,83,0.614,181,219,400,59,42,22,73,165,313,11.8,0.473,0.282,13.9,19.4,16.5,7.1,1.6,1.2,18.1,13.2,0.5,1.2,1.8,0.065,-2.6,-0.9,-3.5,-0.5,8.1,0.973,0.374,0.228,0.17,0.201,0.027,0.591,0.313,0.38,0.39,0.656,1,0.099,21,0.375,0.333
"Stacey Augmon",238,"SG",32,"POR",66,23,1182,127,266,0.477,0,4,0,127,262,0.485,0.477,57,87,0.655,60,99,159,98,48,21,48,105,311,12.3,0.511,0.327,6.3,9.7,8,12.7,2.2,1.3,13.6,13.9,1.3,1.2,2.5,0.102,-1.1,1.3,0.2,0.7,9.7,0.985,0.365,0.162,0.094,0.365,0.015,0.577,0.442,0.44,0.423,0.709,NA,0.064,16,0,NA
"Avery Johnson",239,"PG",35,"SAS",55,20,1290,134,300,0.447,1,6,0.167,133,294,0.452,0.448,41,60,0.683,21,64,85,237,33,4,60,90,310,11.5,0.475,0.2,1.9,5.3,3.7,29.5,1.4,0.2,15.5,14.1,1.3,1.3,2.6,0.098,-1.3,0.1,-1.2,0.3,9.9,0.98,0.333,0.183,0.15,0.313,0.02,0.63,0.273,0.378,0.404,0.481,0,0,0,0.333,0.5
"Corey Benjamin",240,"PG",22,"CHI",65,5,857,115,302,0.381,21,81,0.259,94,221,0.425,0.416,56,83,0.675,38,62,100,69,28,16,63,128,307,8.8,0.453,0.275,5.1,8.9,6.9,14.6,1.8,1.4,15.7,21.8,-0.8,0.3,-0.5,-0.028,-3.5,-1.6,-5.1,-0.7,13.7,0.732,0.278,0.096,0.126,0.232,0.268,0.56,0.345,0.342,0.343,0.564,0.905,0.063,16,0.148,0.167
"Ron Harper",241,"PG",37,"LAL",47,46,1139,127,271,0.469,19,72,0.264,108,199,0.543,0.504,34,48,0.708,46,120,166,113,39,25,62,70,307,12.5,0.525,0.177,4.6,11.8,8.2,14.8,1.8,1.5,17.5,13.9,1,0.8,1.8,0.077,-0.2,0.4,0.2,0.6,12,0.734,0.339,0.111,0.144,0.14,0.266,0.707,0.3,0.41,0.474,0.537,1,0.026,7,0.278,0.3
"Jumaine Jones",242,"SF",21,"PHI",65,0,866,122,275,0.444,20,60,0.333,102,215,0.474,0.48,40,53,0.755,63,126,189,32,30,15,39,68,304,14.2,0.51,0.193,8.4,16.1,12.3,6.3,1.8,1.3,11.6,17.6,0.9,1.4,2.3,0.125,0,0.4,0.4,0.5,13.7,0.782,0.284,0.065,0.156,0.276,0.218,0.679,0.056,0.419,0.395,0.775,0.95,0.062,17,0.25,0.533
"Bryce Drew",243,"PG",26,"CHI",48,41,1305,124,327,0.379,40,105,0.381,84,222,0.378,0.44,14,19,0.737,12,57,69,185,32,3,68,99,302,7.9,0.45,0.058,1.1,5.4,3.1,24,1.3,0.2,16.9,14.4,-0.3,-0.1,-0.4,-0.015,-2.9,-2.1,-4.9,-1,16.7,0.679,0.153,0.083,0.107,0.336,0.321,0.52,0.407,0.286,0.336,0.571,0.775,0,0,0.114,0.417
"Michael Smith",244,"PF",28,"WAS",79,29,1610,106,218,0.486,0,1,0,106,217,0.488,0.486,89,154,0.578,172,390,562,101,57,37,62,156,301,14,0.527,0.706,12.3,28.9,20.4,9.6,1.8,1.6,17.8,9.6,2,1.6,3.6,0.108,0,0.2,0.2,0.9,3.7,0.995,0.606,0.289,0.083,0.018,0.005,0.644,0.222,0.333,0.25,0.594,NA,0.06,11,0,NA
"Mario Elie",245,"SG",37,"PHO",68,67,1506,104,246,0.423,36,100,0.36,68,146,0.466,0.496,55,69,0.797,38,117,155,131,58,12,60,112,299,9.3,0.541,0.28,2.8,9,5.8,12.9,2,0.6,17.8,10,1.1,2,3.1,0.097,-2.2,2,-0.2,0.7,14.2,0.593,0.297,0.102,0.089,0.106,0.407,0.507,0.32,0.409,0.538,0.662,1,0.012,3,0.4,0.375
"Cherokee Parks",246,"C",28,"TOT",65,31,1054,134,274,0.489,0,6,0,134,268,0.5,0.489,31,44,0.705,71,158,229,46,25,36,41,122,299,12.6,0.51,0.161,7.9,16.9,12.5,7.3,1.3,2.4,12.3,14.6,0.9,1,1.9,0.086,-1.7,0.3,-1.4,0.2,11.4,0.978,0.288,0.128,0.128,0.434,0.022,0.684,0.314,0.486,0.437,0.761,NA,0.088,22,0.5,0
"Calvin Booth",247,"C",24,"TOT",55,29,933,120,252,0.476,0,0,NA,120,252,0.476,0.476,53,78,0.679,77,169,246,42,29,111,53,146,293,16.1,0.512,0.31,9.5,21.1,15.2,7.4,1.6,8.5,15.6,16.3,0.6,1.4,2.1,0.106,-1.9,2.7,0.7,0.6,7.3,1,0.373,0.246,0.266,0.115,0,0.628,0.371,0.373,0.448,0.667,NA,0.083,17,NA,NA
"Lawrence Funderburke",248,"PF",30,"SAC",59,2,698,120,242,0.496,0,0,NA,120,242,0.496,0.496,48,77,0.623,74,122,196,17,9,13,32,44,288,16.1,0.522,0.318,11.7,18.3,15.1,4,0.7,1.2,10.4,19.5,1,0.9,1.9,0.129,0,-1.7,-1.8,0,7.2,1,0.446,0.194,0.132,0.227,0,0.676,0.383,0.406,0.291,0.642,NA,0.103,24,NA,NA
"Sam Mitchell",249,"SF",37,"MIN",82,4,983,118,289,0.408,9,43,0.209,109,246,0.443,0.424,40,55,0.727,28,95,123,57,26,10,36,117,285,8.2,0.455,0.19,3.2,11.2,7.1,8.6,1.4,0.7,10.3,16.1,0,0.6,0.6,0.03,-3.7,-0.9,-4.6,-0.6,16.5,0.851,0.087,0.09,0.138,0.536,0.149,0.56,0.385,0.45,0.432,0.872,0.667,0.003,1,0.349,0.2
"Kendall Gill",250,"SG",32,"NJN",31,26,892,107,323,0.331,4,14,0.286,103,309,0.333,0.337,65,90,0.722,32,99,131,87,47,7,48,64,283,10.1,0.39,0.279,4,13.1,8.4,16.7,2.8,0.6,11.7,20.9,-1.1,0.8,-0.4,-0.021,-3,0.3,-2.7,-0.2,12.3,0.957,0.254,0.09,0.204,0.409,0.043,0.573,0.207,0.242,0.258,0.602,1,0.022,7,0.143,0
"Greg Anthony",251,"PG",33,"POR",58,0,856,97,253,0.383,65,159,0.409,32,94,0.34,0.512,23,35,0.657,21,40,61,82,40,3,43,63,282,12,0.525,0.138,3,5.4,4.3,14.8,2.5,0.3,13.8,16.9,0.9,0.7,1.6,0.09,0,0.1,0.1,0.5,20.3,0.372,0.083,0.032,0.067,0.19,0.628,0.429,0.25,0.412,0.292,0.406,0.723,0,0,0.195,0.323
"Jamal Crawford",252,"PG",20,"CHI",61,8,1050,107,304,0.352,41,117,0.35,66,187,0.353,0.419,27,34,0.794,9,80,89,141,43,14,85,68,282,8.5,0.442,0.112,1,9.4,5,23,2.2,1,21,17.9,-1.3,0.4,-0.9,-0.043,-2.9,-1.5,-4.4,-0.6,17.8,0.615,0.135,0.066,0.115,0.299,0.385,0.39,0.25,0.343,0.363,0.439,0.951,0.013,3,0.068,0.5
"Zydrunas Ilgauskas",253,"C",25,"CLE",24,24,616,114,234,0.487,0,2,0,114,232,0.491,0.487,53,78,0.679,65,95,160,18,15,37,60,78,281,16,0.524,0.333,12.3,17.8,15,5.4,1.3,4.4,18.3,24.1,0.1,0.7,0.7,0.056,-1.4,-0.4,-1.8,0,6.1,0.991,0.423,0.299,0.222,0.047,0.009,0.616,0.4,0.385,0.455,0.535,NA,0.085,19,0.5,0
"Derrick Coleman",254,"PF",33,"CHH",34,3,683,97,255,0.38,20,51,0.392,77,204,0.377,0.42,63,92,0.685,46,138,184,39,10,21,42,53,277,13.8,0.469,0.361,7.7,23,15.4,10.2,0.8,2.3,12.4,22.8,0.1,1.1,1.2,0.082,-0.5,-0.5,-0.9,0.2,12.3,0.8,0.208,0.212,0.231,0.149,0.2,0.566,0.333,0.237,0.395,0.688,1,0.035,7,0.196,0.3
"Dan Majerle",255,"SG",35,"MIA",53,19,1306,87,259,0.336,57,181,0.315,30,78,0.385,0.446,36,44,0.818,20,146,166,88,53,15,35,98,267,9.4,0.48,0.17,1.8,13.3,7.6,11,2.2,0.9,11.2,11.6,0.5,2.1,2.6,0.097,-1.9,2.3,0.4,0.8,19.8,0.301,0.135,0.05,0.019,0.097,0.699,0.429,0.385,0.2,0.36,0.7,0.947,0,0,0.16,0.379
"Mike Penberthy",256,"PG",26,"LAL",53,0,851,92,222,0.414,55,139,0.396,37,83,0.446,0.538,28,31,0.903,10,53,63,71,22,2,34,57,267,11.2,0.567,0.14,1.3,7,4.2,12.4,1.4,0.2,12.6,14.2,1.3,0.2,1.6,0.088,-0.3,-1.2,-1.6,0.1,20.1,0.374,0.117,0.045,0.077,0.135,0.626,0.615,0.3,0.235,0.467,0.568,0.909,0,0,0.05,0
"Mahmoud Abdul-Rauf",257,"PG",31,"VAN",41,0,486,120,246,0.488,4,14,0.286,116,232,0.5,0.496,22,29,0.759,5,20,25,76,9,1,26,50,266,16.7,0.514,0.118,1.2,4.7,2.9,32.7,1,0.1,9.1,26.8,0.7,0,0.7,0.07,1.1,-2.1,-1,0.1,17.7,0.943,0.028,0.049,0.171,0.695,0.057,0.571,0.25,0.571,0.497,0.543,0.5,0,0,0.071,0
"Ervin Johnson",258,"C",33,"MIL",82,19,1981,108,198,0.545,0,0,NA,108,198,0.545,0.545,50,93,0.538,205,408,613,40,44,97,47,257,266,11.2,0.557,0.47,11.8,23.2,17.5,2.8,1.2,3.6,16.4,6.5,2.6,2.5,5.1,0.123,-1.3,0.5,-0.8,0.6,3.2,1,0.621,0.263,0.106,0.01,0,0.642,0.404,0.333,0.5,0.556,NA,0.096,17,NA,NA
