"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"James Harden",1,"SG",30,"HOU",68,68,2483,672,1514,0.444,299,843,0.355,373,671,0.556,0.543,692,800,0.865,70,376,446,512,125,60,308,227,2335,29.1,0.626,0.528,2.9,16,9.4,35.9,2.3,2.1,14.2,36.3,9.9,3.2,13.1,0.254,8.1,1.6,9.6,7.3,16.6,0.443,0.243,0.177,0.018,0.005,0.557,0.668,0.414,0.444,0.5,0.139,0.171,0.015,20,0.045,0.342
"Damian Lillard",2,"PG",29,"POR",66,66,2474,624,1349,0.463,270,674,0.401,354,675,0.524,0.563,460,518,0.888,33,251,284,530,70,22,194,114,1978,26.9,0.627,0.384,1.4,10.5,6,34.4,1.3,0.8,11,30.3,10.9,0.7,11.6,0.225,8.3,-0.9,7.5,5.9,16.8,0.5,0.295,0.079,0.062,0.064,0.5,0.618,0.311,0.405,0.471,0.099,0.289,0.014,16,0.036,0.417
"Devin Booker",3,"SG",23,"PHO",70,70,2512,627,1283,0.489,141,398,0.354,486,885,0.549,0.544,468,509,0.919,29,268,297,456,49,18,264,213,1863,20.6,0.618,0.397,1.3,12,6.6,30,0.9,0.6,14.9,30,6,1.5,7.5,0.143,3.4,-1.3,2.2,2.6,14.1,0.69,0.228,0.136,0.213,0.112,0.31,0.72,0.463,0.487,0.424,0.416,0.61,0.017,22,0.09,0.361
"Giannis Antetokounmpo",4,"PF",25,"MIL",63,63,1917,685,1238,0.553,89,293,0.304,596,945,0.631,0.589,398,629,0.633,140,716,856,354,61,66,230,195,1857,31.9,0.613,0.508,7.7,34.8,22.1,34.2,1.5,3,13.2,37.5,6.1,5,11.1,0.279,7.4,4.1,11.5,6.6,9.8,0.763,0.482,0.16,0.073,0.048,0.237,0.779,0.343,0.433,0.4,0.438,0.551,0.17,197,0.034,0.5
"Trae Young",5,"PG",21,"ATL",60,60,2120,546,1249,0.437,205,568,0.361,341,681,0.501,0.519,481,559,0.86,32,223,255,560,65,8,289,104,1778,23.9,0.595,0.448,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,5.3,0.6,5.9,0.133,6.2,-2.3,3.9,3.1,16.8,0.545,0.183,0.167,0.146,0.05,0.455,0.596,0.452,0.467,0.413,0.161,0.298,0,0,0.033,0.579
"Luka Dončić",6,"PG",20,"DAL",61,61,2047,581,1255,0.463,171,541,0.316,410,714,0.574,0.531,426,562,0.758,78,495,573,538,62,14,260,153,1759,27.6,0.585,0.448,4.1,25,14.7,45.7,1.5,0.6,14.8,36.8,6.5,2.3,8.8,0.207,7.4,1,8.4,5.4,14.5,0.569,0.26,0.237,0.058,0.014,0.431,0.752,0.436,0.37,0.471,0.171,0.24,0.012,14,0.02,0.273
"Bradley Beal",7,"SG",26,"WAS",57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.52,385,457,0.842,52,190,242,347,71,23,194,126,1741,23.2,0.579,0.351,2.7,10.5,6.4,29.5,1.6,1,11.4,34.4,4.5,0.6,5.1,0.118,5.3,-2.4,2.9,2.5,14.7,0.631,0.239,0.141,0.135,0.115,0.369,0.689,0.397,0.438,0.387,0.376,0.635,0.035,41,0.119,0.316
"LeBron James",8,"PG",35,"LAL",67,67,2316,643,1303,0.493,148,425,0.348,495,878,0.564,0.55,264,381,0.693,66,459,525,684,78,36,261,118,1698,25.5,0.577,0.292,3.2,21.5,12.4,49.1,1.6,1.4,15.1,31.5,6.2,3.6,9.8,0.204,6.6,1.8,8.4,6.1,12.9,0.674,0.365,0.139,0.073,0.097,0.326,0.727,0.409,0.337,0.341,0.234,0.473,0.062,79,0.061,0.5
"Donovan Mitchell",9,"SG",23,"UTA",69,69,2364,602,1342,0.449,173,473,0.366,429,869,0.494,0.513,278,322,0.863,53,251,304,294,70,14,184,172,1655,18.8,0.558,0.24,2.6,11.3,7.1,21.6,1.4,0.5,11,30.8,3.2,2.2,5.4,0.11,2.4,-0.6,1.9,2.3,14.8,0.648,0.169,0.229,0.134,0.115,0.352,0.626,0.414,0.489,0.465,0.217,0.595,0.025,26,0.127,0.4
"Anthony Davis",10,"PF",26,"LAL",62,62,2131,551,1096,0.503,72,218,0.33,479,878,0.546,0.536,444,525,0.846,142,435,577,200,91,143,154,156,1618,27.4,0.61,0.479,7.4,22.1,14.8,15.1,2,6,10.4,29.3,6.7,4.4,11.1,0.25,5.4,2.6,8,5.4,11.1,0.801,0.343,0.172,0.155,0.13,0.199,0.758,0.413,0.412,0.322,0.578,0.986,0.157,157,0.17,0.432
"CJ McCollum",11,"SG",28,"POR",70,70,2556,611,1356,0.451,194,512,0.379,417,844,0.494,0.522,140,185,0.757,46,251,297,310,54,42,127,183,1556,17,0.541,0.136,1.9,10.2,6.1,19.1,1,1.4,8.1,25.9,3.5,0.6,4.1,0.077,2.3,-1.8,0.5,1.6,15.5,0.622,0.172,0.161,0.15,0.139,0.378,0.597,0.381,0.49,0.503,0.223,0.665,0.004,3,0.146,0.547
"Russell Westbrook",12,"PG",31,"HOU",57,57,2049,604,1281,0.472,55,213,0.258,549,1068,0.514,0.493,290,380,0.763,100,351,451,401,93,20,255,200,1553,21,0.536,0.297,5.1,18.1,11.5,35.6,2.1,0.8,15,34.4,1.7,2.5,4.2,0.098,1.6,-0.1,1.5,1.8,10.1,0.834,0.415,0.142,0.13,0.148,0.166,0.64,0.363,0.404,0.402,0.235,0.655,0.041,40,0.192,0.22
"Jayson Tatum",13,"PF",21,"BOS",66,66,2265,552,1226,0.45,189,469,0.403,363,757,0.48,0.527,254,313,0.812,64,396,460,200,93,57,155,136,1547,20.4,0.567,0.255,3.1,18.5,10.9,14.5,2,2.3,10.2,28.6,3.2,3.7,6.9,0.146,3.5,0.6,4,3.4,14.4,0.617,0.248,0.155,0.126,0.089,0.383,0.618,0.374,0.396,0.394,0.433,0.545,0.05,56,0.171,0.413
"Kawhi Leonard",14,"SF",28,"LAC",57,57,1848,532,1133,0.47,123,325,0.378,409,808,0.506,0.524,356,402,0.886,54,348,402,280,103,33,149,113,1543,26.9,0.589,0.355,3.1,19.1,11.3,26.4,2.6,1.6,10.2,33,5.4,3.3,8.7,0.226,6.5,2.4,8.9,5.1,14.6,0.713,0.167,0.174,0.226,0.147,0.287,0.698,0.452,0.445,0.446,0.284,0.626,0.059,59,0.052,0.412
