"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Kobe Bryant",1,"SG",27,"LAL",80,80,3277,978,2173,0.45,180,518,0.347,798,1655,0.482,0.491,696,819,0.85,71,354,425,360,147,30,250,233,2832,28,0.559,0.377,2.6,12.7,7.6,24.1,2.4,0.7,9,38.7,11.6,3.7,15.3,0.224,7.4,0.2,7.6,8,15.1,0.762,0.2,0.083,0.148,0.331,0.238,0.598,0.494,0.455,0.421,0.377,0.706,0.029,59,0.077,0.35
"LeBron James",2,"SF",21,"CLE",79,79,3361,875,1823,0.48,127,379,0.335,748,1444,0.518,0.515,601,814,0.738,75,481,556,521,123,66,260,181,2478,28.1,0.568,0.447,2.6,17.1,9.8,32.8,2,1.5,10.7,33.6,12,4.3,16.3,0.232,7.5,1.6,9.1,9.4,12.4,0.792,0.353,0.092,0.094,0.253,0.208,0.689,0.411,0.304,0.398,0.303,0.417,0.065,114,0.185,0.343
"Allen Iverson",3,"PG",30,"PHI",72,72,3103,815,1822,0.447,72,223,0.323,743,1599,0.465,0.467,675,829,0.814,44,188,232,532,140,10,248,121,2377,25.9,0.543,0.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,8.8,1.8,10.6,0.165,5.8,-1,4.8,5.3,11.4,0.878,0.295,0.13,0.19,0.262,0.122,0.549,0.435,0.473,0.379,0.199,0.667,0.002,3,0.139,0.29
"Gilbert Arenas",4,"PG",24,"WAS",80,80,3384,746,1668,0.447,199,540,0.369,547,1128,0.485,0.507,655,799,0.82,59,221,280,484,161,25,297,286,2346,23.8,0.581,0.479,2,7.8,4.8,27,2.5,0.6,12.8,30.5,11,2.6,13.6,0.193,5.4,0,5.4,6.3,15.3,0.676,0.231,0.079,0.1,0.266,0.324,0.637,0.318,0.407,0.431,0.282,0.603,0.016,24,0.102,0.345
"Dirk Nowitzki",5,"PF",27,"DAL",81,81,3089,751,1564,0.48,110,271,0.406,641,1293,0.496,0.515,539,598,0.901,115,613,728,226,58,83,156,164,2151,28.1,0.589,0.382,4.6,23.4,14.2,14.7,1,2.1,7.9,30,13.5,4.3,17.7,0.275,7.8,0.4,8.1,7.9,14.4,0.827,0.158,0.099,0.263,0.307,0.173,0.591,0.419,0.491,0.475,0.438,0.909,0.017,23,0.063,0.588
"Carmelo Anthony",6,"SF",21,"DEN",80,80,2941,756,1572,0.481,37,152,0.243,719,1420,0.506,0.493,573,709,0.808,122,272,394,216,88,42,218,229,2122,22,0.563,0.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32,6.8,2.6,9.4,0.153,3.5,-0.9,2.7,3.5,10.5,0.903,0.429,0.059,0.077,0.339,0.097,0.62,0.315,0.364,0.428,0.613,0.919,0.109,165,0.151,0.261
"Paul Pierce",7,"SF",28,"BOS",79,79,3084,689,1462,0.471,111,314,0.354,578,1148,0.503,0.509,627,812,0.772,77,453,530,375,107,34,273,223,2116,23.6,0.582,0.555,3.1,17.5,10.5,23.4,1.8,0.8,13,31.2,8.3,3.2,11.5,0.178,5,-0.2,4.8,5.3,12.6,0.785,0.341,0.068,0.133,0.243,0.215,0.617,0.232,0.436,0.456,0.413,0.829,0.036,49,0.121,0.447
"Dwyane Wade",8,"SG",24,"MIA",75,75,2892,699,1413,0.495,13,76,0.171,686,1337,0.513,0.499,629,803,0.783,107,323,430,503,146,58,268,217,2040,27.6,0.577,0.568,4.5,12.6,8.7,33,2.6,1.5,13.2,32.5,10.2,4.2,14.4,0.239,5.9,1.8,7.7,7.1,9.9,0.946,0.386,0.142,0.132,0.287,0.054,0.661,0.485,0.366,0.397,0.334,0.692,0.115,152,0.237,0.167
"Michael Redd",9,"SG",26,"MIL",80,80,3130,682,1516,0.45,163,413,0.395,519,1103,0.471,0.504,501,571,0.877,78,264,342,229,95,5,170,157,2028,21.2,0.574,0.377,2.9,10.2,6.5,13.8,1.6,0.1,8.8,28.3,8.8,2,10.8,0.166,4.7,-0.9,3.8,4.6,13.8,0.728,0.269,0.08,0.15,0.229,0.272,0.576,0.413,0.399,0.412,0.503,0.853,0.012,17,0.298,0.447
"Ray Allen",10,"SG",30,"SEA",78,78,3022,681,1500,0.454,269,653,0.412,412,847,0.486,0.544,324,359,0.903,71,261,332,286,105,16,188,151,1955,22.2,0.59,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,9.8,-0.3,9.5,0.15,6.4,-2,4.4,4.9,17.2,0.565,0.145,0.1,0.123,0.197,0.435,0.628,0.4,0.451,0.447,0.337,0.751,0.011,16,0.17,0.432
"Elton Brand",11,"PF",26,"LAC",79,79,3099,756,1435,0.527,1,3,0.333,755,1432,0.527,0.527,440,568,0.775,236,554,790,208,81,201,173,227,1953,26.5,0.58,0.396,9.3,19.9,14.8,13.1,1.4,4.9,9.3,27.7,9.3,5.5,14.8,0.229,5.1,1.6,6.7,6.8,9.4,0.998,0.245,0.242,0.346,0.166,0.002,0.65,0.527,0.494,0.416,0.595,1,0.042,56,0,NA
"Vince Carter",12,"SG",29,"NJN",79,79,2906,653,1518,0.43,125,367,0.341,528,1151,0.459,0.471,480,601,0.799,135,327,462,338,94,53,213,235,1911,21.6,0.536,0.396,5.4,13.4,9.3,24.4,1.7,1.5,10.7,32.3,4.9,4.4,9.3,0.153,4.5,0.5,5.1,5.2,12.6,0.758,0.311,0.148,0.09,0.21,0.242,0.559,0.375,0.353,0.414,0.441,0.744,0.062,87,0.169,0.371
"Shawn Marion",13,"PF",27,"PHO",81,81,3263,716,1365,0.525,96,290,0.331,620,1075,0.577,0.56,241,298,0.809,249,710,959,143,160,137,125,223,1769,23.6,0.591,0.218,8.7,23.6,16.3,6.8,2.5,2.9,7.7,22.3,8.6,5.9,14.6,0.214,3.5,1.3,4.8,5.6,10.1,0.788,0.384,0.151,0.155,0.097,0.212,0.752,0.432,0.443,0.323,0.737,0.938,0.151,190,0.455,0.386
"Jason Richardson",14,"SG",25,"GSW",75,75,2877,641,1438,0.446,183,477,0.384,458,961,0.477,0.509,276,410,0.673,105,333,438,232,97,37,167,206,1741,19.2,0.538,0.285,4,13.2,8.5,15.6,1.7,1,9.4,27.6,4.5,2.8,7.3,0.122,3.4,-0.3,3.1,3.7,14.1,0.668,0.254,0.134,0.089,0.191,0.332,0.668,0.342,0.336,0.382,0.467,0.77,0.059,78,0.233,0.432
"Mike Bibby",15,"PG",27,"SAC",82,82,3167,597,1382,0.432,192,497,0.386,405,885,0.458,0.501,342,403,0.849,29,211,240,444,82,10,199,169,1728,17.9,0.554,0.292,1.1,7.7,4.4,25.2,1.4,0.2,11.3,25.4,6,2.4,8.4,0.127,2.7,-1.2,1.5,2.8,18.3,0.64,0.13,0.043,0.037,0.431,0.36,0.615,0.35,0.412,0.425,0.417,0.906,0,0,0.163,0.432
"Antawn Jamison",16,"SF",29,"WAS",82,80,3288,660,1494,0.442,147,373,0.394,513,1121,0.458,0.491,217,297,0.731,167,598,765,158,90,12,137,189,1684,17.7,0.518,0.199,5.7,21.8,13.5,8.7,1.4,0.3,7.8,23.9,4.9,3.2,8.2,0.119,2.4,-1.2,1.2,2.7,14,0.75,0.196,0.205,0.088,0.261,0.25,0.621,0.431,0.409,0.372,0.641,0.959,0.011,16,0.225,0.405
