"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Paul Pierce",1,"SG",24,"BOS",82,82,3302,707,1598,0.442,210,520,0.404,497,1078,0.461,0.508,520,643,0.809,81,485,566,261,154,86,241,237,2144,22.3,0.57,0.402,2.6,16.5,9.4,15.7,2.4,2,11.4,29.3,7.3,5.6,12.9,0.187,4.7,1.3,5.9,6.6,14.9,0.675,0.26,0.071,0.118,0.225,0.325,0.6,0.289,0.354,0.411,0.543,0.767,0.033,50,0.11,0.281
"Tim Duncan",2,"PF",25,"SAS",82,82,3329,764,1504,0.508,1,10,0.1,763,1494,0.511,0.508,560,701,0.799,268,774,1042,307,61,203,263,217,2089,27,0.576,0.466,9.6,25.9,18,18.3,1,4.3,12.7,29,10.7,7.1,17.8,0.257,5.4,2.2,7.6,8,7.6,0.993,0.311,0.337,0.256,0.089,0.007,0.714,0.45,0.405,0.336,0.464,1,0.071,102,0.1,1
"Kobe Bryant",3,"SG",23,"LAL",80,80,3063,749,1597,0.469,33,132,0.25,716,1465,0.489,0.479,488,589,0.829,112,329,441,438,118,35,223,228,2019,23.2,0.544,0.369,4.1,11.7,7.9,25.9,2,0.8,10.7,30.4,8.9,3.8,12.7,0.199,4.3,0.3,4.6,5.2,12,0.917,0.249,0.142,0.212,0.315,0.083,0.658,0.46,0.45,0.394,0.363,0.576,0.061,88,0.061,0.125
"Tracy McGrady",4,"SG",22,"ORL",76,76,2912,715,1586,0.451,103,283,0.364,612,1303,0.47,0.483,415,555,0.748,150,447,597,400,119,73,189,139,1948,25.1,0.532,0.35,5.7,17.3,11.5,25.8,2.1,1.8,9.4,31.1,8.1,3.4,11.5,0.189,6.4,0.4,6.8,6.4,12.3,0.822,0.307,0.122,0.114,0.278,0.178,0.624,0.392,0.409,0.358,0.391,0.602,0.079,114,0.074,0.381
"Allen Iverson",5,"SG",26,"PHI",60,59,2622,665,1669,0.398,78,268,0.291,587,1401,0.419,0.422,475,585,0.812,44,225,269,331,168,13,237,102,1883,21.9,0.489,0.351,1.9,9.6,5.8,27.6,3.5,0.4,11,37.8,2.6,4.3,6.9,0.126,3.9,0.8,4.8,4.5,13.2,0.839,0.239,0.107,0.192,0.301,0.161,0.564,0.38,0.299,0.394,0.375,0.782,0.005,9,0.086,0.522
"Shaquille O'Neal",6,"C",29,"LAL",67,66,2422,712,1229,0.579,0,1,0,712,1228,0.58,0.579,398,717,0.555,235,480,715,200,41,137,171,199,1822,29.7,0.59,0.583,10.8,21.6,16.3,16.4,0.9,4.1,10,31.8,9.2,4,13.2,0.262,7.1,0.9,8,6.1,3.8,0.999,0.509,0.409,0.078,0.002,0.001,0.744,0.447,0.219,0,0.612,NA,0.216,252,0,NA
"Gary Payton",7,"PG",33,"SEA",82,82,3301,737,1578,0.467,74,236,0.314,663,1342,0.494,0.49,267,335,0.797,80,316,396,737,131,26,209,179,1815,22.9,0.526,0.212,2.9,11.1,7.1,39.4,2.1,0.6,10.8,27.2,10.1,2.5,12.6,0.183,5.2,-0.2,5.1,5.9,11,0.85,0.287,0.21,0.15,0.204,0.15,0.66,0.399,0.386,0.438,0.326,0.797,0,0,0.254,0.3
"Antoine Walker",8,"PF",25,"BOS",81,81,3406,666,1689,0.394,222,645,0.344,444,1044,0.425,0.46,240,324,0.741,150,564,714,407,122,38,251,237,1794,17.1,0.49,0.192,4.7,18.6,11.5,22.8,1.9,0.9,12.1,27.8,1.5,5.2,6.7,0.094,2.2,0,2.2,3.6,13.6,0.618,0.294,0.167,0.076,0.081,0.382,0.548,0.309,0.333,0.307,0.345,0.91,0.017,28,0.118,0.276
"Karl Malone",9,"PF",38,"UTA",80,80,3040,635,1399,0.454,9,25,0.36,626,1374,0.456,0.457,509,639,0.797,142,544,686,341,152,59,263,229,1788,21.1,0.532,0.457,5.6,21.7,13.6,21.8,2.7,1.5,13.5,28.8,5.5,4.3,9.8,0.155,2.9,0.8,3.7,4.4,11.5,0.982,0.272,0.106,0.214,0.391,0.018,0.6,0.419,0.385,0.404,0.792,0.778,0.021,28,0.04,1
"Dirk Nowitzki",10,"C",23,"DAL",76,76,2891,600,1258,0.477,139,350,0.397,461,908,0.508,0.532,440,516,0.853,120,635,755,186,83,77,145,222,1779,24.1,0.599,0.41,4.7,24,14.5,10.8,1.5,1.9,8.9,25.5,10.2,3.1,13.4,0.222,5.4,0.1,5.5,5.5,14.2,0.722,0.241,0.078,0.154,0.249,0.278,0.611,0.347,0.438,0.502,0.61,0.964,0.039,45,0.1,0.343
