"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Shaquille O'Neal",1,"C",27,"LAL",79,79,3163,956,1665,0.574,0,1,0,956,1664,0.575,0.574,432,824,0.524,336,742,1078,299,36,239,223,255,2344,30.6,0.578,0.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,11.7,7,18.6,0.283,7.3,2,9.3,9,5.8,0.999,0.402,0.499,0.096,0.002,0.001,0.776,0.448,0.394,0.5,0.628,NA,0.147,236,0,NA
"Vince Carter",2,"SF",23,"TOR",82,82,3126,788,1696,0.465,95,236,0.403,693,1460,0.475,0.493,436,551,0.791,150,326,476,322,110,92,178,263,2107,23.4,0.543,0.325,5.2,12.1,8.5,20.5,1.8,2.1,8.4,30,9.1,2.7,11.8,0.182,5.6,-0.1,5.5,5.9,13.7,0.861,0.217,0.143,0.207,0.294,0.139,0.671,0.397,0.382,0.433,0.541,0.821,0.082,131,0.131,0.516
"Karl Malone",3,"PF",36,"UTA",82,82,2947,752,1476,0.509,2,8,0.25,750,1468,0.511,0.51,589,739,0.797,169,610,779,304,79,71,231,229,2095,27.1,0.582,0.501,7.1,24.7,16.1,20.9,1.4,1.9,11.4,31.9,10.7,4.5,15.3,0.249,6.4,1.1,7.5,7.1,11.2,0.995,0.307,0.117,0.269,0.302,0.005,0.684,0.43,0.406,0.46,0.776,1,0.021,31,0,NA
"Allen Iverson",4,"SG",24,"PHI",70,70,2853,729,1733,0.421,89,261,0.341,640,1472,0.435,0.446,442,620,0.713,71,196,267,328,144,5,230,162,1989,20,0.496,0.358,2.7,7.7,5.2,23,2.6,0.1,10.3,34.4,3.3,3.6,6.9,0.116,3.4,-0.2,3.2,3.8,12.7,0.849,0.257,0.162,0.162,0.268,0.151,0.711,0.178,0.307,0.402,0.473,0.787,0.009,14,0.142,0.432
"Gary Payton",5,"PG",31,"SEA",82,82,3425,747,1666,0.448,177,520,0.34,570,1146,0.497,0.502,311,423,0.735,100,429,529,732,153,18,224,178,1982,23.6,0.535,0.254,3.2,13.9,8.5,37.7,2.3,0.4,10.8,26.8,10.5,3.5,13.9,0.195,5.8,0.7,6.4,7.3,13.8,0.688,0.228,0.206,0.102,0.151,0.312,0.739,0.395,0.347,0.373,0.314,0.633,0,0,0.181,0.33
"Jerry Stackhouse",6,"SG",25,"DET",82,82,3148,619,1447,0.428,83,288,0.288,536,1159,0.462,0.456,618,758,0.815,118,197,315,365,103,36,311,188,1939,18.9,0.545,0.524,4.3,7.2,5.8,20.3,1.6,0.8,14.9,29.2,5.7,1.6,7.3,0.111,2.8,-1.7,1,2.4,13.5,0.801,0.357,0.082,0.127,0.236,0.199,0.585,0.297,0.342,0.399,0.485,0.88,0.097,132,0.33,0.389
"Grant Hill",7,"SF",27,"DET",74,74,2776,696,1422,0.489,34,98,0.347,662,1324,0.5,0.501,480,604,0.795,97,393,490,385,103,43,240,190,1906,24.5,0.565,0.425,4.1,16.4,10.2,26.8,1.9,1.1,12.4,30.5,8.1,2.6,10.7,0.185,5.4,0.1,5.4,5.2,11.8,0.931,0.341,0.108,0.21,0.273,0.069,0.658,0.379,0.359,0.459,0.323,0.882,0.056,70,0.112,0.364
"Kevin Garnett",8,"PF",23,"MIN",81,81,3243,759,1526,0.497,30,81,0.37,729,1445,0.504,0.507,309,404,0.765,223,733,956,401,120,126,268,205,1857,23.6,0.545,0.265,7.9,26.6,17.1,21.5,1.9,2.8,13.6,27.4,6.1,5.6,11.6,0.172,4.6,1.7,6.3,6.8,12,0.947,0.183,0.244,0.223,0.296,0.053,0.724,0.485,0.39,0.471,0.69,0.9,0.063,92,0.136,0.182
"Michael Finley",9,"SF",26,"DAL",82,82,3464,748,1636,0.457,99,247,0.401,649,1389,0.467,0.487,260,317,0.82,122,396,518,438,109,32,196,171,1855,19.2,0.522,0.194,3.8,12.2,8,21.3,1.6,0.6,9.9,25.1,6.4,1.9,8.3,0.114,3,-0.9,2.1,3.6,13.8,0.849,0.16,0.175,0.23,0.284,0.151,0.698,0.385,0.41,0.434,0.421,0.939,0.043,68,0.304,0.48
"Chris Webber",10,"PF",26,"SAC",75,75,2880,748,1548,0.483,27,95,0.284,721,1453,0.496,0.492,311,414,0.751,189,598,787,345,120,128,218,264,1834,23.4,0.53,0.267,6.8,21.8,14.3,21.1,2,2.9,11.2,28.2,5.7,5,10.7,0.179,3.6,2.1,5.7,5.6,11.1,0.939,0.222,0.26,0.185,0.272,0.061,0.729,0.413,0.387,0.461,0.591,0.778,0.097,137,0.032,0.667
"Ray Allen",11,"SG",24,"MIL",82,82,3070,642,1411,0.455,172,407,0.423,470,1004,0.468,0.516,353,398,0.887,83,276,359,308,110,19,183,187,1809,20.6,0.57,0.282,3.2,10.5,6.8,17,1.9,0.5,10.3,25.6,9,1,10.1,0.157,4.7,-1.1,3.6,4.3,15.1,0.712,0.195,0.128,0.223,0.166,0.288,0.596,0.414,0.417,0.427,0.421,0.855,0.043,54,0.273,0.459
"Alonzo Mourning",12,"C",29,"MIA",79,78,2748,652,1184,0.551,0,4,0,652,1180,0.553,0.551,414,582,0.711,215,538,753,123,40,294,217,308,1718,25.8,0.596,0.492,9.5,21.6,15.9,8.7,0.8,7.8,13.1,28.1,7.3,5.6,12.9,0.226,3.1,2.2,5.3,5,9.2,0.997,0.276,0.285,0.255,0.18,0.003,0.765,0.527,0.404,0.479,0.692,NA,0.147,169,0,NA
"Tim Duncan",13,"PF",23,"SAS",74,74,2875,628,1281,0.49,1,11,0.091,627,1270,0.494,0.491,459,603,0.761,262,656,918,234,66,165,242,210,1716,24.8,0.555,0.471,10.8,24.8,18.1,15.5,1.2,4,13.5,28.7,6.7,6.4,13,0.218,3.8,1.8,5.6,5.5,8.7,0.991,0.249,0.376,0.241,0.125,0.009,0.63,0.442,0.453,0.456,0.545,1,0.067,73,0.182,0.5
"Glenn Robinson",14,"SF",27,"MIL",81,81,2909,690,1461,0.472,86,237,0.363,604,1224,0.493,0.502,227,283,0.802,107,378,485,193,78,41,223,212,1693,17.8,0.534,0.194,4.3,15.1,9.7,11.8,1.4,1.1,12.3,27.6,3.5,1.3,4.8,0.08,1.9,-1.9,0.1,1.5,14,0.838,0.113,0.153,0.352,0.22,0.162,0.594,0.435,0.479,0.506,0.659,0.953,0.025,32,0.329,0.346
"Antoine Walker",15,"PF",23,"BOS",82,82,3003,648,1506,0.43,73,285,0.256,575,1221,0.471,0.455,311,445,0.699,199,453,652,305,117,32,259,263,1680,17.8,0.494,0.295,7.2,18.2,12.4,18.2,2,0.8,13.2,28.3,2.3,2.7,5,0.08,1.8,-1.1,0.7,2.1,9.6,0.811,0.345,0.344,0.064,0.057,0.189,0.577,0.423,0.361,0.244,0.459,0.986,0.024,34,0.2,0.316
"Shareef Abdur-Rahim",16,"SF",23,"VAN",82,82,3223,594,1277,0.465,29,96,0.302,565,1181,0.478,0.477,446,551,0.809,218,607,825,271,89,87,249,244,1663,20.2,0.547,0.431,8,22.7,15.3,15.5,1.5,1.9,14.1,25,6.2,2.6,8.8,0.132,2.6,-0.4,2.2,3.4,9.8,0.925,0.306,0.284,0.151,0.183,0.075,0.652,0.41,0.358,0.393,0.494,1,0.086,101,0.563,0.37
"Stephon Marbury",17,"PG",22,"NJN",74,74,2881,569,1317,0.432,66,233,0.283,503,1084,0.464,0.457,436,536,0.813,61,179,240,622,112,15,270,195,1640,20.7,0.528,0.407,2.3,7.2,4.6,39,2,0.4,14.8,28.2,6.1,1.2,7.4,0.123,3.8,-1.3,2.4,3.2,14,0.823,0.336,0.109,0.108,0.27,0.177,0.544,0.424,0.345,0.428,0.26,0.47,0.01,10,0.064,0.2
"Elton Brand",18,"PF",20,"CHI",81,80,2999,630,1306,0.482,0,2,0,630,1304,0.483,0.482,367,536,0.685,348,462,810,155,66,132,228,259,1627,20.6,0.528,0.41,13.3,18.4,15.8,11.8,1.2,3.3,12.9,27,4.2,3.3,7.5,0.121,2.2,-0.9,1.3,2.5,8.1,0.998,0.335,0.375,0.227,0.062,0.002,0.609,0.447,0.375,0.42,0.638,NA,0.042,49,0.5,0
"Allan Houston",19,"SG",28,"NYK",82,82,3169,614,1271,0.483,106,243,0.436,508,1028,0.494,0.525,280,334,0.838,38,233,271,224,65,14,186,219,1614,16.5,0.569,0.263,1.5,8.5,5.1,13.2,1.1,0.3,11.6,24,5.5,3.1,8.6,0.13,1.8,-0.2,1.7,2.9,15.6,0.809,0.129,0.091,0.257,0.332,0.191,0.47,0.371,0.489,0.54,0.451,0.896,0.009,7,0.309,0.453
"Antonio McDyess",20,"PF",25,"DEN",81,81,2698,614,1211,0.507,0,2,0,614,1209,0.508,0.507,323,516,0.626,234,451,685,159,69,139,230,316,1551,19.6,0.539,0.426,9.4,18.4,13.8,10.9,1.3,3.5,13.8,26.9,3.3,2.9,6.2,0.11,0.9,-0.1,0.7,1.9,9.7,0.998,0.336,0.205,0.286,0.172,0.002,0.695,0.427,0.408,0.404,0.787,NA,0.131,143,0,NA
