"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Michael Jordan",1,"SG",33,"CHI",82,82,3106,920,1892,0.486,111,297,0.374,809,1595,0.507,0.516,480,576,0.833,113,369,482,352,140,44,166,156,2431,27.8,0.567,0.304,4.2,13.2,8.8,21.2,2.4,1.1,7.2,33.2,13.3,5,18.3,0.283,7.8,1.1,8.9,8.6,14.4,0.843,0.18,0.077,0.304,0.283,0.157,0.524,0.476,0.492,0.521,0.502,0.739,0.027,49,0.057,0.412
"Karl Malone",2,"PF",33,"UTA",82,82,2998,864,1571,0.55,0,13,0,864,1558,0.555,0.55,521,690,0.755,193,616,809,368,113,48,233,217,2249,28.9,0.6,0.439,8.5,24.2,16.8,24.5,2,1.3,11.1,32.7,11.6,5.1,16.7,0.268,7.1,1.2,8.3,7.8,10.6,0.992,0.402,0.089,0.238,0.262,0.008,0.685,0.443,0.396,0.536,0.777,NA,0.043,65,0,NA
"Glen Rice",3,"SF",29,"CHH",79,78,3362,722,1513,0.477,207,440,0.47,515,1073,0.48,0.546,464,535,0.867,67,251,318,160,72,26,177,190,2115,19.7,0.605,0.354,2.5,8.8,5.7,8.8,1.2,0.6,9.2,26.9,9.6,1.2,10.8,0.154,3.9,-2.1,1.8,3.2,14.2,0.709,0.332,0.067,0.138,0.171,0.291,0.475,0.471,0.459,0.51,0.742,0.913,0.055,83,0.136,0.633
"Mitch Richmond",4,"SG",31,"SAC",81,81,3125,717,1578,0.454,204,477,0.428,513,1101,0.466,0.519,457,531,0.861,59,260,319,338,118,24,237,211,2095,21.6,0.578,0.337,2.2,9.8,6,20.6,2,0.6,11.6,29.4,8.7,2.1,10.8,0.166,5.2,-0.6,4.6,5.2,15.7,0.698,0.224,0.063,0.141,0.27,0.302,0.544,0.37,0.405,0.455,0.452,0.794,0.011,16,0.178,0.518
"Latrell Sprewell",5,"SG",26,"GSW",80,79,3353,649,1444,0.449,147,415,0.354,502,1029,0.488,0.5,493,585,0.843,58,308,366,507,132,45,322,153,1938,19.7,0.57,0.405,2.1,10.9,6.5,27,2.1,1,15.9,26.9,7,1.1,8.1,0.115,3.8,-1.1,2.7,4,13.7,0.713,0.305,0.127,0.136,0.144,0.287,0.641,0.435,0.381,0.313,0.442,0.639,0.033,46,0.041,0.235
"Hakeem Olajuwon",6,"C",34,"HOU",78,78,2852,727,1426,0.51,5,16,0.313,722,1410,0.512,0.512,351,446,0.787,173,543,716,236,117,173,281,249,1810,22.7,0.558,0.313,7.4,21,14.5,16.2,2.1,4.5,14.8,30.4,3.5,5.6,9.1,0.154,1.5,2,3.5,3.9,9.5,0.989,0.283,0.302,0.29,0.113,0.011,0.594,0.517,0.459,0.429,0.731,1,0.041,50,0.25,0.5
"Kendall Gill",7,"SF",28,"NJN",82,81,3199,644,1453,0.443,74,220,0.336,570,1233,0.462,0.469,427,536,0.797,183,316,499,326,154,46,218,225,1789,19.6,0.53,0.369,5.8,11.4,8.4,18.3,2.5,1.1,11.4,25.4,6.6,2.2,8.8,0.132,2.8,0.1,2.9,4,13.3,0.849,0.35,0.07,0.168,0.26,0.151,0.566,0.294,0.316,0.463,0.568,0.946,0.036,49,0.136,0.3
"Allen Iverson",8,"PG",21,"PHI",76,74,3045,625,1504,0.416,155,455,0.341,470,1049,0.448,0.467,382,544,0.702,115,197,312,567,157,24,337,233,1787,18,0.513,0.362,4,7.2,5.6,33.6,2.6,0.6,16.2,28.9,3.1,1,4.1,0.065,2.5,-1.6,0.9,2.2,14.3,0.697,0.418,0.068,0.106,0.104,0.303,0.474,0.485,0.319,0.452,0.274,0.568,0.023,34,0.068,0.516
"Gary Payton",9,"PG",28,"SEA",82,82,3213,706,1482,0.476,119,380,0.313,587,1102,0.533,0.517,254,355,0.715,106,272,378,583,197,13,215,208,1785,21.8,0.545,0.24,4,10.2,7.1,33.8,3.3,0.3,11.6,26.4,8.2,4.7,12.9,0.193,4.4,1.1,5.5,6.1,11.8,0.744,0.456,0.129,0.081,0.078,0.256,0.614,0.387,0.425,0.409,0.348,0.714,0.005,8,0.189,0.347
"Patrick Ewing",10,"C",34,"NYK",78,78,2887,655,1342,0.488,2,9,0.222,653,1333,0.49,0.489,439,582,0.754,175,659,834,156,69,189,269,250,1751,21.3,0.548,0.434,7.5,26.4,17.3,10.8,1.3,5.3,14.4,29.8,2.9,6.9,9.8,0.163,0.9,1.9,2.8,3.5,9.3,0.993,0.341,0.273,0.271,0.107,0.007,0.55,0.529,0.409,0.403,0.655,1,0.065,87,0.333,0
"Reggie Miller",11,"SG",31,"IND",81,81,2966,552,1244,0.444,229,536,0.427,323,708,0.456,0.536,418,475,0.88,53,233,286,273,75,25,166,172,1751,20.2,0.603,0.382,2.2,9.2,5.8,17.4,1.4,0.7,10.3,25.2,9.6,2.7,12.3,0.2,5.8,0,5.8,5.8,17.8,0.569,0.148,0.044,0.134,0.243,0.431,0.549,0.382,0.347,0.474,0.598,0.808,0.006,8,0.114,0.361
"Grant Hill",12,"SF",24,"DET",80,80,3147,625,1259,0.496,10,33,0.303,615,1226,0.502,0.5,450,633,0.711,123,598,721,583,144,48,259,186,1710,25.5,0.556,0.503,5,23.1,14.2,36,2.6,1.3,14.4,28.3,8.7,5.9,14.6,0.223,5.4,2.7,8.2,8,11,0.974,0.356,0.133,0.253,0.231,0.026,0.618,0.357,0.417,0.498,0.228,0.9,0.06,69,0.061,0
"Glenn Robinson",13,"SF",24,"MIL",80,79,3114,669,1438,0.465,63,180,0.35,606,1258,0.482,0.487,288,364,0.791,130,372,502,248,103,68,269,225,1689,17.5,0.528,0.253,5.1,14.6,9.9,14.8,1.8,1.6,14.4,27.8,2,2.7,4.7,0.072,1.3,-0.7,0.7,2.1,12.9,0.875,0.22,0.136,0.339,0.179,0.125,0.511,0.398,0.458,0.554,0.512,0.794,0.031,40,0.05,0.444
"Jerry Stackhouse",14,"SG",22,"PHI",81,81,3166,533,1308,0.407,102,342,0.298,431,966,0.446,0.446,511,667,0.766,156,182,338,253,93,63,316,219,1679,14.1,0.524,0.51,5.2,6.4,5.8,13.5,1.5,1.4,16.5,25.6,1.9,0.2,2.1,0.032,-0.1,-2.2,-2.2,-0.2,13.3,0.739,0.433,0.073,0.117,0.116,0.261,0.514,0.417,0.288,0.368,0.564,0.735,0.09,115,0.108,0.459
