"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Shaquille O'Neal",1,"C",26,"LAL",49,49,1705,510,885,0.576,0,1,0,510,884,0.577,0.576,269,498,0.54,187,338,525,114,36,82,122,155,1289,30.6,0.584,0.563,13.1,22.6,18,14.4,1.1,3.5,10,32.4,7.2,1.9,9,0.255,7.5,-0.4,7.1,3.9,5.3,0.999,0.424,0.525,0.05,0,0.001,0.763,0.452,0.318,NA,0.633,NA,0.157,127,0,NA
"Allen Iverson",2,"SG",23,"PHI",48,48,1990,435,1056,0.412,58,199,0.291,377,857,0.44,0.439,356,474,0.751,66,170,236,223,110,7,167,98,1284,22.2,0.508,0.449,3.8,10.1,6.9,24.2,3,0.3,11.7,32.6,4.3,2.9,7.2,0.173,5.1,0.6,5.7,3.9,13.6,0.812,0.256,0.132,0.165,0.259,0.188,0.644,0.23,0.316,0.423,0.411,0.793,0.003,3,0.176,0.486
"Karl Malone",3,"PF",35,"UTA",49,49,1832,393,797,0.493,0,1,0,393,796,0.494,0.493,378,480,0.788,107,356,463,201,62,28,162,134,1164,25.6,0.577,0.602,7.7,22.1,15.4,23,1.9,1.2,13.8,30.5,6.2,3.4,9.6,0.252,5.3,1.4,6.7,4,11.2,0.999,0.343,0.112,0.194,0.35,0.001,0.656,0.393,0.355,0.444,0.802,NA,0.035,26,0,NA
"Shareef Abdur-Rahim",4,"SF",22,"VAN",50,50,2021,386,893,0.432,11,36,0.306,375,857,0.438,0.438,369,439,0.841,114,260,374,172,69,55,186,137,1152,20.7,0.53,0.492,6.5,15.4,10.9,17.6,1.8,2,14.6,28.9,3.7,0.9,4.6,0.108,2.9,-0.9,2,2.1,8.7,0.96,0.334,0.331,0.135,0.159,0.04,0.557,0.372,0.388,0.366,0.536,0.909,0.074,62,0.667,0.333
"Tim Duncan",5,"PF",22,"SAS",50,50,1963,418,845,0.495,1,7,0.143,417,838,0.498,0.495,247,358,0.69,159,412,571,121,45,126,146,147,1084,23.2,0.541,0.424,9.7,22.2,16.3,12.1,1.2,4.4,12.7,27.2,4,4.7,8.7,0.213,2.7,1.8,4.5,3.2,7.8,0.992,0.304,0.372,0.22,0.096,0.008,0.669,0.446,0.349,0.494,0.604,1,0.104,88,0.143,1
"Gary Payton",6,"PG",30,"SEA",50,50,2008,401,923,0.434,83,281,0.295,318,642,0.495,0.479,199,276,0.721,62,182,244,436,109,12,154,115,1084,23.1,0.519,0.299,3.5,10.6,7,41.3,2.9,0.4,12.9,27.1,6,1.2,7.2,0.172,5.1,0,5.1,3.6,13,0.696,0.312,0.2,0.094,0.089,0.304,0.688,0.373,0.23,0.378,0.255,0.639,0.001,1,0.21,0.373
"Antonio McDyess",7,"C",24,"DEN",50,50,1937,415,882,0.471,1,9,0.111,414,873,0.474,0.471,230,338,0.68,168,369,537,82,73,115,138,175,1061,21.7,0.515,0.383,9.7,22.8,16,8.7,2,4.2,11.8,27.3,2.9,1.3,4.2,0.105,1.4,-0.7,0.7,1.3,11.2,0.99,0.298,0.161,0.244,0.287,0.01,0.646,0.423,0.363,0.419,0.778,1,0.115,94,0,NA
"Grant Hill",8,"SF",26,"DET",50,50,1852,384,802,0.479,0,14,0,384,788,0.487,0.479,285,379,0.752,65,290,355,300,80,27,184,114,1053,23.9,0.543,0.473,4.3,19.3,11.7,33.6,2.4,1.2,16,29.6,4.5,2.8,7.3,0.189,4.8,1.4,6.2,3.8,10.8,0.983,0.325,0.146,0.281,0.231,0.017,0.632,0.385,0.444,0.4,0.359,NA,0.05,38,0.071,0
"Stephon Marbury",9,"PG",21,"TOT",49,49,1895,378,883,0.428,66,197,0.335,312,686,0.455,0.465,222,278,0.799,37,105,142,437,59,8,164,125,1044,20.8,0.519,0.315,2,6.6,4.2,44,1.6,0.3,14,27.2,4.5,0.8,5.3,0.134,4.3,-1.6,2.7,2.2,14.4,0.777,0.315,0.108,0.088,0.266,0.223,0.558,0.274,0.372,0.434,0.288,0.439,0.011,9,0.076,0.4
"Michael Finley",10,"SF",25,"DAL",50,50,2051,389,876,0.444,45,136,0.331,344,740,0.465,0.47,186,226,0.823,69,194,263,218,66,15,107,96,1009,19.2,0.517,0.258,3.8,10.7,7.2,19.9,1.7,0.5,9.9,24.2,4.4,0.9,5.4,0.126,2.8,-0.9,2,2.1,13.8,0.845,0.242,0.14,0.16,0.303,0.155,0.618,0.431,0.393,0.396,0.448,0.933,0.061,50,0.257,0.4
