"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Kevin Durant",1,"SF",21,"OKC",82,82,3239,794,1668,0.476,128,351,0.365,666,1317,0.506,0.514,756,840,0.9,105,518,623,231,112,84,271,171,2472,26.2,0.607,0.504,3.8,17.9,11,13.5,1.8,1.9,11.7,32,11.1,5,16.1,0.238,6.3,0.8,7.1,7.5,13.2,0.79,0.245,0.107,0.203,0.235,0.21,0.703,0.444,0.445,0.38,0.471,0.773,0.082,133,0.048,0.235
"LeBron James",2,"SF",25,"CLE",76,76,2966,768,1528,0.503,129,387,0.333,639,1141,0.56,0.545,593,773,0.767,71,483,554,651,125,77,261,119,2258,31.1,0.604,0.506,3,18.5,11.1,41.8,2.2,2,12.3,33.5,13.3,5.2,18.5,0.299,9.1,2.8,11.8,10.3,13.4,0.747,0.342,0.082,0.061,0.262,0.253,0.745,0.468,0.344,0.398,0.369,0.341,0.08,117,0.111,0.395
"Dwyane Wade",3,"SG",28,"MIA",77,77,2792,719,1511,0.476,73,243,0.3,646,1268,0.509,0.5,534,702,0.761,107,266,373,501,142,82,252,181,2045,28,0.562,0.465,4.5,11.1,7.8,36.4,2.7,2.4,12.2,34.9,8.5,4.6,13,0.224,7.1,2.1,9.2,7.9,11.2,0.839,0.366,0.106,0.124,0.244,0.161,0.682,0.45,0.353,0.356,0.279,0.26,0.081,115,0.099,0.208
"Dirk Nowitzki",4,"PF",31,"DAL",81,80,3039,720,1496,0.481,51,121,0.421,669,1375,0.487,0.498,536,586,0.915,80,540,620,218,70,79,149,208,2027,22.9,0.578,0.392,3.1,20.1,11.7,13,1.2,2,7.8,28.8,8.4,3.9,12.3,0.194,3.7,0.5,4.2,4.7,13.7,0.919,0.162,0.082,0.29,0.384,0.081,0.621,0.439,0.442,0.473,0.587,0.98,0.018,24,0.017,1
"Kobe Bryant",5,"SG",31,"LAL",73,73,2835,716,1569,0.456,99,301,0.329,617,1268,0.487,0.488,439,541,0.811,78,313,391,365,113,20,233,187,1970,21.9,0.545,0.345,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,5.4,4,9.4,0.16,3.9,0.2,4.1,4.4,13.5,0.808,0.212,0.132,0.221,0.243,0.192,0.581,0.449,0.483,0.429,0.368,0.636,0.025,36,0.1,0.367
"Carmelo Anthony",6,"SF",25,"DEN",69,69,2634,688,1502,0.458,59,187,0.316,629,1315,0.478,0.478,508,612,0.83,152,302,454,222,88,30,209,225,1943,22.2,0.548,0.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,5.6,2.4,7.9,0.145,3.5,-1.2,2.3,2.9,11.1,0.875,0.362,0.099,0.125,0.291,0.125,0.595,0.324,0.444,0.4,0.375,0.847,0.041,57,0.107,0.3
"Amar'e Stoudemire",7,"PF",27,"PHO",82,82,2838,704,1264,0.557,1,6,0.167,703,1258,0.559,0.557,487,632,0.771,230,502,732,82,52,83,213,281,1896,22.6,0.615,0.5,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,8.2,2.5,10.7,0.181,2.1,-1.1,1,2.2,7.1,0.995,0.428,0.264,0.11,0.193,0.005,0.675,0.518,0.468,0.41,0.612,1,0.164,187,0.167,0
"Zach Randolph",8,"PF",28,"MEM",81,81,3051,652,1336,0.488,15,52,0.288,637,1284,0.496,0.494,362,465,0.778,330,620,950,149,80,34,174,226,1681,21.2,0.546,0.348,12.6,23.8,18.2,8.2,1.3,0.8,10.1,24.6,7,2.7,9.7,0.153,2.7,-1.4,1.3,2.5,7.5,0.961,0.451,0.226,0.1,0.184,0.039,0.58,0.447,0.366,0.423,0.469,0.8,0.002,3,0.269,0.286
"Chris Bosh",9,"C",25,"TOR",70,70,2526,600,1158,0.518,8,22,0.364,592,1136,0.521,0.522,470,590,0.797,205,554,759,166,43,68,169,170,1678,25,0.592,0.509,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,7.9,1.7,9.6,0.182,4.8,-1.2,3.6,3.6,8.8,0.981,0.351,0.217,0.189,0.224,0.019,0.661,0.438,0.425,0.463,0.493,0.875,0.088,89,0.091,0.5
"Stephen Jackson",10,"SG",31,"TOT",81,81,3129,600,1418,0.423,129,393,0.328,471,1025,0.46,0.469,338,434,0.779,78,323,401,300,132,43,259,197,1667,15.6,0.518,0.306,3,12.2,7.7,17.7,2.2,1.1,13.9,27.5,0.5,4.6,5,0.077,0.3,0.1,0.4,1.9,13.3,0.723,0.323,0.083,0.085,0.233,0.277,0.555,0.376,0.367,0.391,0.416,0.752,0.025,33,0.224,0.364
