"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Allen Iverson",1,"PG",29,"PHI",75,75,3174,771,1818,0.424,104,338,0.308,667,1480,0.451,0.453,656,786,0.835,51,248,299,596,180,9,344,140,2302,23.2,0.532,0.432,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35,5.3,3.7,9,0.136,4.2,0,4.2,5,12.2,0.814,0.313,0.095,0.154,0.252,0.186,0.548,0.434,0.386,0.376,0.169,0.567,0.002,3,0.098,0.424
"LeBron James",2,"SF",20,"CLE",80,80,3388,795,1684,0.472,108,308,0.351,687,1376,0.499,0.504,477,636,0.75,111,477,588,577,177,52,262,146,2175,25.7,0.554,0.378,3.8,17,10.2,32.9,2.8,1.1,11.8,29.7,9.7,4.6,14.3,0.203,7,1.7,8.6,9.1,12.1,0.817,0.311,0.137,0.121,0.248,0.183,0.725,0.37,0.324,0.373,0.445,0.5,0.076,126,0.185,0.491
"Amar'e Stoudemire",3,"C",22,"PHO",80,80,2889,747,1336,0.559,3,16,0.188,744,1320,0.564,0.56,583,795,0.733,219,494,713,131,77,130,189,278,2080,26.6,0.617,0.595,8.5,17.4,13.2,7.7,1.3,3,10.1,28.3,11.3,3.3,14.6,0.243,4.1,0.3,4.4,4.7,7,0.988,0.46,0.209,0.155,0.165,0.012,0.708,0.412,0.449,0.459,0.597,0.667,0.195,237,0.188,0.333
"Gilbert Arenas",4,"PG",23,"WAS",80,80,3274,656,1523,0.431,205,562,0.365,451,961,0.469,0.498,521,640,0.814,83,295,378,411,139,23,242,245,2038,21.3,0.565,0.42,2.8,10.5,6.5,22.9,2.2,0.5,11.8,27.3,9.2,2.3,11.5,0.169,4.7,-0.4,4.2,5.2,15.2,0.631,0.233,0.11,0.109,0.179,0.369,0.645,0.251,0.38,0.429,0.257,0.668,0.018,27,0.137,0.26
"Dirk Nowitzki",5,"PF",26,"DAL",78,78,3020,663,1445,0.459,91,228,0.399,572,1217,0.47,0.49,615,708,0.869,96,661,757,240,97,119,176,219,2032,26.1,0.578,0.49,3.6,24,14,14.3,1.7,2.9,9.1,28.7,10.3,5.2,15.6,0.248,5.8,1.5,7.3,7.1,14.5,0.842,0.181,0.072,0.203,0.386,0.158,0.637,0.452,0.41,0.427,0.491,0.802,0.035,48,0.105,0.333
"Tracy McGrady",6,"SF",25,"HOU",78,78,3182,715,1660,0.431,142,435,0.326,573,1225,0.468,0.473,431,557,0.774,71,413,484,448,135,52,201,167,2003,22.9,0.526,0.336,2.7,14.8,8.9,28.6,2.3,1.3,9.5,31.2,6.5,5.4,12,0.18,5.2,1.5,6.7,6.9,15.5,0.738,0.225,0.066,0.081,0.365,0.262,0.572,0.364,0.385,0.441,0.358,0.514,0.042,62,0.051,0.318
"Vince Carter",7,"SF",28,"TOT",77,76,2828,696,1541,0.452,127,313,0.406,569,1228,0.463,0.493,367,460,0.798,106,295,401,327,109,48,168,243,1886,22.9,0.541,0.299,4.4,12.6,8.4,25.7,2.1,1.3,8.8,31.6,5.9,3.5,9.4,0.159,5.2,0.8,6,5.7,12.8,0.797,0.252,0.171,0.13,0.243,0.203,0.591,0.405,0.353,0.43,0.508,0.835,0.051,70,0.115,0.361
"Ray Allen",8,"SG",29,"SEA",78,78,3064,640,1494,0.428,209,556,0.376,431,938,0.459,0.498,378,428,0.883,79,268,347,289,84,5,171,167,1867,20.9,0.555,0.286,3.2,10.7,6.9,18.1,1.5,0.1,9.2,28,9.7,1,10.7,0.168,5.3,-1.2,4.1,4.8,15.8,0.628,0.185,0.103,0.138,0.201,0.372,0.606,0.364,0.398,0.415,0.311,0.804,0.021,27,0.185,0.369
"Dwyane Wade",9,"SG",23,"MIA",77,77,2974,630,1318,0.478,13,45,0.289,617,1273,0.485,0.483,581,762,0.762,110,287,397,520,121,82,321,230,1854,23.1,0.561,0.578,4.5,10.8,7.8,31,2.2,2,16.3,30.9,6.7,4.3,11,0.177,3.9,0.7,4.6,4.9,8.3,0.966,0.441,0.149,0.135,0.241,0.034,0.587,0.401,0.343,0.429,0.251,0.308,0.095,114,0.222,0.1
"Kobe Bryant",10,"SG",26,"LAL",66,66,2689,573,1324,0.433,131,387,0.339,442,937,0.472,0.482,542,664,0.816,95,297,392,398,86,53,270,174,1819,23.3,0.563,0.502,4,12.4,8.2,28.5,1.7,1.4,14.3,31.7,7.1,1,8.1,0.145,5.7,-0.8,5,4.7,13.9,0.708,0.272,0.113,0.124,0.199,0.292,0.606,0.427,0.36,0.384,0.247,0.664,0.045,53,0.127,0.327
