"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Dwyane Wade",1,"SG",27,"MIA",79,79,3048,854,1739,0.491,88,278,0.317,766,1461,0.524,0.516,590,771,0.765,89,309,398,589,173,106,272,178,2386,30.4,0.574,0.443,3.5,12.2,7.8,40.3,3,2.8,11.6,36.2,10.3,4.4,14.7,0.232,8.2,2.4,10.6,9.6,12.3,0.84,0.334,0.084,0.094,0.328,0.16,0.664,0.479,0.445,0.416,0.253,0.295,0.082,128,0.151,0.262
"LeBron James",2,"SF",24,"CLE",81,81,3054,789,1613,0.489,132,384,0.344,657,1229,0.535,0.53,594,762,0.78,106,507,613,587,137,93,241,139,2304,31.7,0.591,0.472,4.3,19,11.9,38,2.4,2.4,11,33.8,13.7,6.5,20.3,0.318,9.5,3.7,13.2,11.8,13.4,0.762,0.333,0.092,0.074,0.263,0.238,0.728,0.453,0.286,0.388,0.318,0.424,0.083,128,0.107,0.341
"Kobe Bryant",3,"SG",30,"LAL",82,82,2960,800,1712,0.467,118,336,0.351,682,1376,0.496,0.502,483,564,0.856,90,339,429,399,120,37,210,189,2201,24.4,0.561,0.329,3.5,12.8,8.2,23.8,2.1,1,9.7,32.2,8.6,4,12.7,0.206,5.6,0.3,5.9,5.9,14,0.804,0.203,0.12,0.181,0.299,0.196,0.664,0.461,0.448,0.424,0.326,0.644,0.036,59,0.086,0.414
"Dirk Nowitzki",4,"PF",30,"DAL",81,81,3050,774,1616,0.479,61,170,0.359,713,1446,0.493,0.498,485,545,0.89,88,593,681,197,61,63,157,176,2094,23.1,0.564,0.337,3.3,22.1,12.8,12.1,1,1.5,7.8,30.3,7.5,3.4,10.9,0.171,3.7,-0.3,3.4,4.2,13.8,0.895,0.144,0.085,0.327,0.339,0.105,0.601,0.401,0.489,0.474,0.52,0.967,0.009,14,0.041,0
"Kevin Durant",5,"SF",20,"OKC",74,74,2885,661,1390,0.476,97,230,0.422,564,1160,0.486,0.51,452,524,0.863,77,405,482,205,96,53,225,134,1871,20.8,0.577,0.377,3,16.4,9.6,13.5,1.7,1.4,12.2,28.3,5.2,2.7,7.9,0.132,3.4,-0.1,3.3,3.8,12.9,0.835,0.26,0.098,0.178,0.299,0.165,0.677,0.397,0.405,0.398,0.502,0.948,0.086,114,0.083,0.368
"Antawn Jamison",6,"PF",32,"WAS",81,81,3096,674,1441,0.468,112,319,0.351,562,1122,0.501,0.507,341,452,0.754,196,525,721,153,95,25,125,218,1801,20.6,0.549,0.314,7.2,20.5,13.7,9.1,1.6,0.7,7.1,25.9,6.6,1.6,8.1,0.126,3.3,-1.7,1.6,2.8,11.9,0.779,0.288,0.213,0.095,0.183,0.221,0.631,0.479,0.394,0.376,0.639,1,0.008,12,0.144,0.37
"Chris Paul",7,"PG",23,"NOH",78,78,3002,631,1255,0.503,64,176,0.364,567,1079,0.525,0.528,455,524,0.868,69,363,432,861,216,10,231,212,1781,30,0.599,0.418,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,13.3,5,18.3,0.292,7.2,3.8,11,9.9,11.8,0.86,0.264,0.186,0.16,0.249,0.14,0.634,0.526,0.488,0.435,0.097,0.547,0.003,3,0.051,0.222
"Brandon Roy",8,"SG",24,"POR",78,78,2903,633,1318,0.48,83,220,0.377,550,1098,0.501,0.512,416,505,0.824,104,266,370,400,88,22,152,127,1765,24,0.573,0.383,4.4,11.6,7.9,25.4,1.7,0.6,9,27.4,10.9,2.6,13.5,0.223,6,0.1,6.2,6,11.5,0.833,0.333,0.113,0.14,0.247,0.167,0.601,0.483,0.424,0.417,0.256,0.819,0.024,29,0.318,0.429
"Chris Bosh",9,"C",24,"TOR",77,77,2928,615,1263,0.487,12,49,0.245,603,1214,0.497,0.492,504,617,0.817,215,556,771,191,67,77,174,189,1746,22.1,0.569,0.489,8.7,22.1,15.5,11.6,1.2,2,10.2,26.9,6.6,3.1,9.7,0.159,3,-0.4,2.7,3.5,10.6,0.961,0.314,0.135,0.181,0.331,0.039,0.594,0.433,0.399,0.483,0.519,0.833,0.073,81,0.041,0
"Danny Granger",10,"SF",25,"IND",67,66,2424,571,1277,0.447,182,450,0.404,389,827,0.47,0.518,404,460,0.878,49,292,341,183,69,97,165,207,1728,21.8,0.584,0.36,2.2,13.4,7.7,13.1,1.4,3,10,29.6,5.6,2.4,8,0.158,4.9,-0.1,4.8,4.2,15.8,0.648,0.198,0.103,0.104,0.242,0.352,0.609,0.379,0.391,0.43,0.373,0.951,0.016,20,0.064,0.448
