"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Kobe Bryant",1,"SG",28,"LAL",77,77,3140,813,1757,0.463,137,398,0.344,676,1359,0.497,0.502,667,768,0.868,75,364,439,413,111,36,255,205,2430,26.1,0.58,0.437,2.8,13.5,8.2,25.5,1.8,0.9,10.9,33.6,10.8,2.2,13,0.199,6.4,-0.5,5.9,6.1,14.5,0.773,0.223,0.09,0.14,0.321,0.227,0.619,0.468,0.488,0.426,0.351,0.642,0.038,59,0.08,0.375
"LeBron James",2,"SF",22,"CLE",78,78,3190,772,1621,0.476,99,310,0.319,673,1311,0.513,0.507,489,701,0.698,83,443,526,470,125,55,250,171,2132,24.5,0.552,0.432,3,16.6,9.6,29.1,2.1,1.3,11.5,31,8,5.7,13.7,0.206,5.9,2.2,8.1,8.1,12.2,0.809,0.333,0.125,0.111,0.241,0.191,0.725,0.406,0.361,0.346,0.321,0.495,0.068,108,0.145,0.444
"Gilbert Arenas",3,"PG",25,"WAS",74,73,2942,647,1548,0.418,205,584,0.351,442,964,0.459,0.484,606,718,0.844,61,277,338,443,139,13,236,249,2105,24,0.565,0.464,2.3,11.1,6.6,27.2,2.4,0.3,11.2,31.4,9.3,1.5,10.8,0.177,5.5,-0.8,4.7,5,16.2,0.623,0.242,0.048,0.066,0.267,0.377,0.572,0.347,0.353,0.402,0.251,0.58,0.006,9,0.087,0.294
"Vince Carter",4,"SG",30,"NJN",82,82,3126,726,1598,0.454,156,437,0.357,570,1161,0.491,0.503,462,576,0.802,114,378,492,393,82,30,217,266,2070,21.8,0.559,0.36,4.3,14.2,9.3,25.1,1.4,0.8,10.5,30.8,7.4,3.1,10.5,0.161,4.3,-0.4,3.9,4.6,12.9,0.727,0.331,0.109,0.064,0.223,0.273,0.582,0.437,0.382,0.413,0.453,0.814,0.057,86,0.119,0.442
"Dirk Nowitzki",5,"PF",28,"DAL",78,78,2820,673,1341,0.502,72,173,0.416,601,1168,0.515,0.529,498,551,0.904,122,571,693,263,52,62,167,171,1916,27.6,0.605,0.411,5.3,23.9,14.8,17.8,1,1.7,9.5,28.9,11.8,4.5,16.3,0.278,7.2,1.2,8.3,7.4,13.8,0.871,0.18,0.082,0.255,0.353,0.129,0.603,0.409,0.5,0.504,0.468,0.778,0.016,20,0.075,0.462
"Carmelo Anthony",6,"SF",22,"DEN",65,65,2486,691,1453,0.476,40,149,0.268,651,1304,0.499,0.489,459,568,0.808,143,248,391,249,77,23,234,203,1881,22.1,0.552,0.391,6.6,11.1,8.9,19.2,1.5,0.7,12.1,33.4,5.2,2.1,7.3,0.14,3.2,-1.3,1.9,2.5,10,0.897,0.422,0.081,0.114,0.281,0.103,0.641,0.407,0.333,0.38,0.584,0.875,0.115,157,0.121,0.333
"Ben Gordon",7,"SG",23,"CHI",82,51,2704,609,1338,0.455,155,375,0.413,454,963,0.471,0.513,380,440,0.864,35,223,258,296,64,17,249,252,1753,18.2,0.572,0.329,1.5,9.3,5.4,20.1,1.2,0.5,14,29.3,4.7,3.9,8.6,0.152,2.5,-0.1,2.4,3,16.5,0.72,0.147,0.07,0.116,0.387,0.28,0.513,0.43,0.503,0.454,0.368,0.684,0.002,3,0.259,0.381
"Tracy McGrady",8,"SG",27,"HOU",71,71,2539,638,1480,0.431,126,381,0.331,512,1099,0.466,0.474,345,488,0.707,56,322,378,458,92,36,213,136,1747,23.2,0.515,0.33,2.6,14.5,8.6,37.5,1.9,1.1,11.2,35,4.1,4.5,8.6,0.163,4.9,1.2,6.1,5.2,16,0.743,0.201,0.061,0.075,0.405,0.257,0.57,0.367,0.378,0.445,0.383,0.595,0.022,31,0.047,0.278
"Allen Iverson",9,"SG",31,"TOT",65,64,2761,581,1313,0.442,62,197,0.315,519,1116,0.465,0.466,485,610,0.795,23,170,193,468,123,13,268,95,1709,19.6,0.54,0.465,1,6.9,4,29.6,2.2,0.3,14.5,29.3,4,2.2,6.2,0.108,2.6,-0.8,1.8,2.6,11.9,0.85,0.274,0.13,0.204,0.241,0.15,0.586,0.398,0.433,0.391,0.183,0.823,0.002,2,0.173,0.176
"Kevin Garnett",10,"PF",30,"MIN",76,76,2995,638,1341,0.476,12,56,0.214,626,1285,0.487,0.48,416,498,0.835,183,792,975,313,89,126,205,184,1704,24.1,0.546,0.371,7.5,30.8,19.5,19.5,1.6,3.2,11.6,27.4,5.7,4.9,10.7,0.171,3.8,1.7,5.4,5.5,11.8,0.958,0.211,0.187,0.245,0.315,0.042,0.643,0.482,0.439,0.423,0.593,0.833,0.049,60,0,NA
"Amar'e Stoudemire",11,"C",24,"PHO",82,78,2689,607,1055,0.575,0,3,0,607,1052,0.577,0.575,457,585,0.781,222,564,786,84,78,110,232,295,1671,23.1,0.637,0.555,10.1,23.3,17,5,1.5,2.9,15,25.8,7.2,4,11.2,0.201,1.5,0.3,1.8,2.6,5.7,0.997,0.53,0.215,0.107,0.145,0.003,0.691,0.449,0.442,0.451,0.649,NA,0.191,180,0,NA
"Elton Brand",12,"PF",27,"LAC",80,80,3077,645,1211,0.533,1,1,1,644,1210,0.532,0.533,351,461,0.761,268,476,744,235,77,179,202,238,1642,23.1,0.581,0.381,10.5,18.3,14.5,14.7,1.3,4.5,12.5,24.3,7.2,4.3,11.5,0.18,3.4,0.8,4.2,4.8,9.1,0.999,0.265,0.226,0.339,0.168,0.001,0.688,0.547,0.462,0.407,0.624,1,0.051,60,0,NA
"Kevin Martin",13,"SG",23,"SAC",80,80,2818,505,1067,0.473,127,333,0.381,378,734,0.515,0.533,481,570,0.844,69,273,342,173,98,11,135,181,1618,20.1,0.614,0.534,2.8,11.6,7.1,10.9,1.8,0.3,9.3,23.2,8.3,1.9,10.2,0.173,3.2,-0.5,2.8,3.4,14.2,0.688,0.256,0.101,0.106,0.225,0.312,0.645,0.481,0.442,0.417,0.495,0.882,0.051,51,0.237,0.43
